title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
"Top Research Reports for AbbVie, TJX & Charles Schwab","Today's Research Daily features new research reports on 16 major stocks, including AbbVie Inc. (ABBV), The TJX Companies, Inc. (TJX) and The Charles Schwab Corporation (SCHW), as well as two micro-cap stocks, Enzo Biochem, Inc. (ENZ) and CVD Equipment Corporation (CVV).",Zacks Commentary,20250415T203000,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.796627'}, {'topic': 'Earnings', 'relevance_score': '0.650727'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}]",Somewhat-Bullish,0.165176,ABBV
The Zacks Analyst Blog Merck and AbbVie,Merck and AbbVie are included in this Analyst Blog.,Zacks Commentary,20250415T105400,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}, {'topic': 'Earnings', 'relevance_score': '0.976913'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}]",Somewhat-Bullish,0.235273,ABBV
Is Invesco Large Cap Value ETF  ( PWV )  a Strong ETF Right Now?,Smart Beta ETF report for ...,Zacks Commentary,20250415T102006,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.999996'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.320967,ABBV
"ROSEN, A LEADING INVESTOR RIGHTS LAW FIRM, Encourages Cerevel Therapeutics Holdings, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - CERE","NEW YORK, April 14, 2025 ( GLOBE NEWSWIRE ) -- WHY: Rosen Law Firm, a global investor rights law firm, announces the filing of a class action lawsuit on behalf of all persons or entities that: ( 1 ) sold or otherwise disposed of the publicly-traded common stock of Cerevel Therapeutics ...",Benzinga,20250414T213300,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.98396'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.17946,ABBV
"Lowey Dannenberg Notifies Cerevel Therapeutics Holdings, Inc.  ( ""Cerevel"" or the ""Company"" )   ( NASDAQ: CERE )  Investors of Securities Class Action Lawsuit and Encourages Investors with more than $100,000 in Losses to Contact the Firm","NEW YORK, April 14, 2025 ( GLOBE NEWSWIRE ) -- Lowey Dannenberg P.C., a preeminent law firm in obtaining redress for consumers and investors, announces the filing of a class action lawsuit against Cerevel Therapeutics Holdings, Inc. ( ""Cerevel"" or the ""Company"" ) CERE for violations of the ...",Benzinga,20250414T165820,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'IPO', 'relevance_score': '0.310843'}, {'topic': 'Financial Markets', 'relevance_score': '0.929393'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.108179'}]",Neutral,-0.048643,ABBV
ABBV vs. MRK: Which Drug Giant is a Better Buy Now?,Both ABBV and MRK are leading pharmaceutical companies with strong portfolios in oncology and immunology.,Zacks Commentary,20250414T143700,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.459462'}, {'topic': 'Earnings', 'relevance_score': '0.998663'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}]",Somewhat-Bullish,0.196468,ABBV
"Meta, TJX, Taiwan Semiconductor Manufacturing And A Health Care Stock: CNBC's 'Final Trades' - Meta Platforms  ( NASDAQ:META ) , AbbVie  ( NYSE:ABBV ) ",Brenda Vingiello says Meta Platforms is going to be a winner in the overall advertising. Kevin Simpson of Capital Wealth Planning says TJX is a standout name in a tough retail environment. China's new tariffs just reignited the same market patterns that led to triple- and quadruple-digit wins ...,Benzinga,20250414T124057,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}]",Somewhat-Bullish,0.34801,ABBV
"The Zacks Analyst Blog AbbVie's, Rinvoq and AstraZeneca's and Novartis","AbbVie's, Rinvoq and AstraZeneca's and Novartis are included in this Analyst Blog.",Zacks Commentary,20250414T061700,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.413559'}]",Neutral,0.134161,ABBV
European Commission approves Roche's Columvi as the first bispecific antibody for diffuse large B-cell lymphoma after initial therapy,"Basel, 14 April 2025 - Roche ( SIX: RO, ROG. OTCQX: RHHBY ) announced today that the European Commission has approved Columvi® ( glofitamab ) in combination with gemcitabine and oxaliplatin ( GemOx ) for the treatment of adult patients with relapsed or refractory ( R/R ) diffuse large B-cell ...",GlobeNewswire,20250414T050000,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.158519'}]",Neutral,0.149693,ABBV
"Investing $60,000 in These 3 Funds Could Generate Annual Income of Over $6,500","Income investors could pay attention to the price fluctuations of the assets they own. But they don't have to. What really matters for them is that the dividends and distributions keep flowing steadily -- and the higher the yield, the better.Where can you find great candidates to achieve these ...",Motley Fool,20250413T084900,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.989041'}, {'topic': 'Earnings', 'relevance_score': '0.576289'}]",Somewhat-Bullish,0.17892,ABBV
AbbVie Unusual Options Activity - AbbVie  ( NYSE:ABBV ) ,"Financial giants have made a conspicuous bearish move on AbbVie. Our analysis of options history for AbbVie ABBV revealed 20 unusual trades. Delving into the details, we found 45% of traders were bullish, while 55% showed bearish tendencies.",Benzinga,20250411T200108,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.413559'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.177409,ABBV
Omeros' New Leukemia Drug Team Ignites Hope For Cancer Fight - Omeros  ( NASDAQ:OMER ) ,OncotoX-AML showed superior survival benefit in preclinical studies vs. venetoclax and azacitidine. Therapy kills AML blasts and stem cells at low doses without neutropenia or blood toxicity. Feel unsure about the market's next move?,Benzinga,20250411T190633,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",Somewhat-Bullish,0.23732,ABBV
"Pharma Stock Roundup: EU Nod to Expanded Use of ABBV, AZN Drugs & More",EU approves expanded use of ABBV's Rinvoq and AZN's Imfinzi and Enhertu. NVS set to invest $23B to boost U.S. manufacturing.,Zacks Commentary,20250411T154700,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}]",Neutral,0.125119,ABBV
