title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
"This House of Representative Just Bought Up To $390K In Abbott Laboratories Stock - Abbott Laboratories  ( NYSE:ABT ) , Amazon.com  ( NASDAQ:AMZN ) ","Records from April 14, 2025 indicate that Representative Byron Donalds of Florida made a purchase of Abbott Laboratories ABT, valued between $26,026 and $390,000, with the transaction dated April 14, 2025 and filed in April. As of now, Abbott Laboratories shares are trading down 0.46% at $126.78.",Benzinga,20250415T150013,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.996023'}]",Somewhat-Bullish,0.175538,ABT
Here's How Quest Diagnostics is Placed Ahead of Q1 Earnings,DGX's first-quarter 2025 performance is likely to have been supported by the ongoing utilization of its Advanced Diagnostics and benefits from acquisitions.,Zacks Commentary,20250415T132800,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.307613,ABT
Badger Meter Gears Up to Report Q1 Earnings: What's in the Offing?,"BMI's performance is likely to have benefited from demand for its solutions. However, the uncertain macro backdrop, higher costs and competition are concerns.",Zacks Commentary,20250415T123900,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.999998'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.223701,ABT
How To Earn $500 A Month From Abbott Laboratories Stock Ahead Of Q1 Earnings - Abbott Laboratories  ( NYSE:ABT ) ,"A more conservative goal of $100 monthly dividend income would require 508 shares of Abbott. An investor would need to own $325,274 worth of Abbott Laboratories to generate a monthly dividend income of $500. China's new tariffs just reignited the same market patterns that led to triple- and ...",Benzinga,20250415T123537,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.999998'}, {'topic': 'Earnings', 'relevance_score': '0.795202'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.27275,ABT
"The Zacks Analyst Blog Abbott, Taiwan Semiconductor, American Express, ManpowerGroup and D.R. Horton","Abbott, Taiwan Semiconductor, American Express, ManpowerGroup and D.R. Horton are included in this Analyst Blog.",Zacks Commentary,20250415T112500,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.998626'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Neutral,-0.023966,ABT
5 Top Stock Charts for This Week,"Tracey Ryniec talks about a new strategy for Q1 earnings season, including impacts of the tariffs, on ABT, TSM, AXP, MAN, and DHI.",Zacks Commentary,20250415T004200,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.998626'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Neutral,-0.064414,ABT
BAX Stock Declines Despite Latest Product Launch Boosting Patient Care,"Baxter aims to promote enhanced patient care through the evolution of its latest product, which enables direct accessibility in the operating room.",Zacks Commentary,20250414T134800,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Earnings', 'relevance_score': '0.682689'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.296466,ABT
Should You Invest in the iShares U.S. Medical Devices ETF  ( IHI ) ?,Sector ETF report for IHI ...,Zacks Commentary,20250414T102005,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.223702,ABT
"Investing $60,000 in These 3 Funds Could Generate Annual Income of Over $6,500","Income investors could pay attention to the price fluctuations of the assets they own. But they don't have to. What really matters for them is that the dividends and distributions keep flowing steadily -- and the higher the yield, the better.Where can you find great candidates to achieve these ...",Motley Fool,20250413T084900,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.989041'}, {'topic': 'Earnings', 'relevance_score': '0.576289'}]",Somewhat-Bullish,0.17892,ABT
"Jim Cramer's week ahead: Earnings from Goldman Sachs, Johnson & Johnson and Netflix",CNBC's Jim Cramer on Friday told investors which market-moving events to follow next week.,CNBC,20250411T225659,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.94762'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Earnings', 'relevance_score': '0.890401'}]",Neutral,0.102159,ABT
