title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
Taiwan Semiconductor Set to Report Q1 Earnings: How to Play the Stock?,"Strengths in AI-driven technologies are likely to have aided TSM's Q1 top line. However, rising operational costs may have hurt bottom-line growth.",Zacks Commentary,20250415T190000,"[{'topic': 'Earnings', 'relevance_score': '0.997874'}, {'topic': 'Financial Markets', 'relevance_score': '0.929393'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.218022,AVGO
Broadcom Introduces Industry's First Incident Prediction Capability to Stop Living-Off-The-Land Attacks,"Broadcom announced Incident Prediction, an industry-first security capability that leverages AI to identify and disrupt living-off-the land (LOTL) attacks.",GlobeNewswire,20250415T130000,"[{'topic': 'Manufacturing', 'relevance_score': '1.0'}]",Neutral,-0.095234,AVGO
3 Artificial Intelligence Stocks You Can Buy and Hold for the Next Decade,Consider buying these top-notch AI-powered stocks in the current market dip.,Motley Fool,20250415T123021,"[{'topic': 'Financial Markets', 'relevance_score': '0.995077'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.904684'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Bullish,0.351271,AVGO
"The Zacks Analyst Blog Apple, NVIDIA, Advanced Micro Devices, Amazon.com and Alphabet","Apple, NVIDIA, Advanced Micro Devices, Amazon.com and Alphabet are included in this Analyst Blog.",Zacks Commentary,20250415T110800,"[{'topic': 'Financial Markets', 'relevance_score': '0.990999'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.576289'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Neutral,0.09888,AVGO
Thinking About Buying Growth Stocks During the 2025 Nasdaq Bear Market? Consider These Risks First.,The last few weeks may feel like months for investors trying to make sense of huge swings to the upside and the downside in the broader market. The Nasdaq Composite's ( NASDAQINDEX: ^IXIC ) over 12% pop on April 9 pole-vaulted the index out of bear market territory -- which is a decline of over ...,Motley Fool,20250415T110500,"[{'topic': 'Financial Markets', 'relevance_score': '0.365926'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.77141'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Neutral,0.026831,AVGO
"The Zacks Analyst Blog Apple, NVIDIA, Advanced Micro Devices, Amazon.com and Alphabet","Apple, NVIDIA, Advanced Micro Devices, Amazon.com and Alphabet are included in this Analyst Blog.",Zacks Commentary,20250415T103000,"[{'topic': 'Financial Markets', 'relevance_score': '0.990999'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.576289'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Neutral,0.09888,AVGO
1 Spectacular Vanguard ETF to Buy With $550 During the Tech Bear Market,"The S&P 500 ( SNPINDEX: ^GSPC ) is made up of 500 companies from 11 different economic sectors. The information technology sector is the largest by a wide margin, representing 29.9% of the entire value of the index. The S&P 500 recently suffered a peak-to-trough decline of 19%, falling just shy ...",Motley Fool,20250415T093400,"[{'topic': 'Financial Markets', 'relevance_score': '0.972476'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Neutral,0.074555,AVGO
"Chip Shock: 3 Hot Semiconductor ETFs To Watch As Trump's Tariff Bomb Ticks - Broadcom  ( NASDAQ:AVGO ) , ASML Holding  ( NASDAQ:ASML ) ","On Sunday, Trump said that new tariff levels on foreign semiconductors will be announced within this week. Simultaneously, Taiwan has been positively negotiating with Washington to steer clear of getting engulfed in the tariff wave.",Benzinga,20250414T190230,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Neutral,0.117005,AVGO
"Which Mag-7 Stock, Apple or NVIDIA, Should You Buy for Tariff Relief?","Apple and NVIDIA received temporary tariff relief to avoid increased import costs and price hikes, prompting speculation on which stock to invest in.",Zacks Commentary,20250414T190000,"[{'topic': 'Financial Markets', 'relevance_score': '0.962106'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.576289'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Neutral,0.08488,AVGO
3 Reasons Why Growth Investors Shouldn't Overlook Broadcom Inc.  ( AVGO ) ,"Broadcom Inc. (AVGO) possesses solid growth attributes, which could help it handily outperform the market.",Zacks Commentary,20250414T164503,"[{'topic': 'Earnings', 'relevance_score': '0.983783'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",Bullish,0.454917,AVGO
