title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
"Bank Of America CEO Says Consumers Are 'Resilient,' While Business Owners 'Worried' As 'We Face A Changing Economy' - Bank of America  ( NYSE:BAC ) ","""""Our business clients have been performing well; and consumers have shown resilience, continuing to spend, the BofA CEO says. Moynihan adds some business owners are slowing growth plans in the face of uncertainty.",Benzinga,20250415T230026,"[{'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Economy - Macro', 'relevance_score': '0.158519'}]",Somewhat-Bullish,0.268299,BAC
Why PepsiCo Stock Tanked Today,"On Tuesday, PepsiCo ( NASDAQ: PEP ) didn't provide much of a sugary, caffeinated buzz for its shareholders. It wasn't directly the company's fault, as the key reason for the dip was an analyst's recommendation downgrade.",Motley Fool,20250415T222850,"[{'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Somewhat-Bearish,-0.165971,BAC
PepsiCo Still A Buy? Not Anymore As Analysts 'Run Out Of Answers' - PepsiCo  ( NASDAQ:PEP ) ,"Analyst downgrades PepsiCo, cites slow growth at Frito-Lay. Marketing efforts in 2024 failed to boost PepsiCo's sales. China's new tariffs just reignited the same market patterns that led to triple- and quadruple-digit wins for Matt Maley. Get Matt's next trade alert free.",Benzinga,20250415T200036,"[{'topic': 'Financial Markets', 'relevance_score': '0.538269'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.650727'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Neutral,0.093811,BAC
Why ServiceNow Stock Is Gaining Today,"ServiceNow ( NYSE: NOW ) stock is moving higher in Tuesday's trading. The software specialist's share price was up 1.9% as of 2:30 p.m. ET, and been up as much as 3.1% earlier in the day.Two investment firms updated their valuation forecasts for ServiceNow today and lowered their respective price ...",Motley Fool,20250415T194102,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",Somewhat-Bullish,0.264211,BAC
"Dow Downgraded: Analyst Blames 'Perfect Storm' Of Weak Macro, High Costs, Trade Barriers - Dow  ( NYSE:DOW ) ",BofA cuts Dow's 2025-26 EBITDA estimates by 17% and 23%. China tariffs threaten over 20% of Dow's polyethylene exports. Feel unsure about the market's next move? Copy trade alerts from Matt Maley-a Wall Street veteran who consistently finds profits in volatile markets.,Benzinga,20250415T191042,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Earnings', 'relevance_score': '0.538269'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Neutral,-0.039222,BAC
Alcoa Q1 Earnings Preview: Investors Want To Know If Tariffs Will Hurt -Or Help - Stock - Alcoa  ( NYSE:AA ) ,"Alcoa reports first-quarter financial results Wednesday, April 16 after market close. Tariffs could be among the biggest topics for investors to watch during company commentary and analyst questions. Feel unsure about the market's next move?",Benzinga,20250415T175905,"[{'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.875462'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Neutral,0.076322,BAC
"Bank of America Q1 Earnings Top on Robust Equity Trading, Higher NII","BAC's Q1 earnings gain from solid equity trading income, higher NII and decent advisory and debt underwriting performance amid higher provisions and expenses.",Zacks Commentary,20250415T161800,"[{'topic': 'Earnings', 'relevance_score': '0.999687'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.999987'}]",Somewhat-Bullish,0.344809,BAC
Why Bank of America Stock Is Higher Today,"Bank of America ( NYSE: BAC ) posted better-than-expected numbers for the first quarter, signaling that the uncertainty gripping Wall Street has not yet made its way to Main Street.Investors applauded the results, sending Bank of America shares up as much as 6% on Tuesday and up 4% as of 11 a.m.",Motley Fool,20250415T154417,"[{'topic': 'Earnings', 'relevance_score': '0.905476'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}]",Somewhat-Bullish,0.233374,BAC
Import Prices Turn Negative for First Time Since September,"New economic data is out this morning, some of it reflecting conditions prior to our current tariff realities. We also see Q1 earnings results continue to ramp up, but we won't have the spigots open completely til next week.",Zacks Commentary,20250415T150400,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.360215'}, {'topic': 'Earnings', 'relevance_score': '0.938238'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Neutral,0.095054,BAC
"Bank of America: EPS Beats, Revenue Up",Bank of America beat expectations with a strong Q1 2025 earnings report.,Motley Fool,20250415T142338,"[{'topic': 'Earnings', 'relevance_score': '0.999999'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.977154'}]",Bullish,0.358716,BAC
"Import Prices, Empire State Come In Mild; Q1 Earnings Beats Abound","Pre-markets are down somewhat, following yesterday's +3/4-percent gain on the Dow and the S&P 500, +2/3-percent gain for the Nasdaq.",Zacks Commentary,20250415T141900,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.360215'}, {'topic': 'Earnings', 'relevance_score': '0.986413'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Neutral,0.090163,BAC
"Nasdaq Surges 100 Points; Bank of America Earnings Top Views - Bank of America  ( NYSE:BAC ) , Webull  ( NASDAQ:BULL ) ","U.S. stocks traded higher this morning, with the Nasdaq Composite gaining around 100 points on Tuesday. Following the market opening Tuesday, the Dow traded up 0.41% to 40,689.26 while the NASDAQ gained 0.60% to 16,932.04. The S&P 500 also rose, gaining, 0.55% to 5,435.97.",Benzinga,20250415T141320,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Earnings', 'relevance_score': '0.769861'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.272922,BAC
Bank of America  ( BAC )  Q1 Earnings: Taking a Look at Key Metrics Versus Estimates,"The headline numbers for Bank of America (BAC) give insight into how the company performed in the quarter ended March 2025, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",Zacks Commentary,20250415T133004,"[{'topic': 'Earnings', 'relevance_score': '0.929393'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.796627'}]",Somewhat-Bullish,0.237334,BAC
