title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
This Is What Whales Are Betting On Blackstone - Blackstone  ( NYSE:BX ) ,"Investors with a lot of money to spend have taken a bullish stance on Blackstone BX. We noticed this today when the trades showed up on publicly available options history that we track here at Benzinga. Whether these are institutions or just wealthy individuals, we don't know.",Benzinga,20250415T190105,"[{'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.990999'}]",Somewhat-Bullish,0.186084,BX
Gear Up for Blackstone Inc.  ( BX )  Q1 Earnings: Wall Street Estimates for Key Metrics,"Evaluate the expected performance of Blackstone Inc. (BX) for the quarter ended March 2025, looking beyond the conventional Wall Street top-and-bottom-line estimates and examining some of its key metrics for better insight.",Zacks Commentary,20250414T131517,"[{'topic': 'Earnings', 'relevance_score': '0.980509'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}]",Somewhat-Bullish,0.211713,BX
Blackstone Set to Report Q1 Earnings: What's in the Cards for BX?,Decent inflows and a decent rise in profits from deal exits are expected to have supported Blackstone's Q1 earnings.,Zacks Commentary,20250414T123400,"[{'topic': 'Earnings', 'relevance_score': '0.999965'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",Neutral,0.121747,BX
Spotlight on Blackstone: Analyzing the Surge in Options Activity - Blackstone  ( NYSE:BX ) ,"Deep-pocketed investors have adopted a bearish approach towards Blackstone BX, and it's something market players shouldn't ignore. Our tracking of public options records at Benzinga unveiled this significant move today.",Benzinga,20250411T170039,"[{'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.995077'}]",Neutral,0.147636,BX
"BlackRock's Q1 Earnings Beat on AUM Growth & Higher Revenues, Stock Up",Higher revenues and record AUM numbers support BLK's Q1 earnings amid rising expenses and weak market performance.,Zacks Commentary,20250411T123800,"[{'topic': 'Earnings', 'relevance_score': '0.996718'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",Somewhat-Bullish,0.183905,BX
Blackstone Inc.  ( BX )  Surges 14.4%: Is This an Indication of Further Gains?,Blackstone Inc. (BX) witnessed a jump in share price last session on above-average trading volume. The latest trend in earnings estimate revisions for the stock doesn't suggest further strength down the road.,Zacks Commentary,20250410T150300,"[{'topic': 'Earnings', 'relevance_score': '0.972476'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.413559'}]",Somewhat-Bullish,0.162934,BX
Blackstone Inc.  ( BX )  Earnings Expected to Grow: What to Know Ahead of Next Week's Release,Blackstone Inc. (BX) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Zacks Commentary,20250410T140012,"[{'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",Somewhat-Bullish,0.157271,BX
Blackstone Secured Lending Fund  ( BXSL )  Stock Jumps 7.9%: Will It Continue to Soar?,Blackstone Secured Lending Fund (BXSL) was a big mover last session on higher-than-average trading volume. The latest trend in earnings estimate revisions might not help the stock continue moving higher in the near term.,Zacks Commentary,20250410T133300,"[{'topic': 'Financial Markets', 'relevance_score': '0.413559'}, {'topic': 'Earnings', 'relevance_score': '0.976913'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.198444,BX
Strength Seen in Apollo Commerical Finance  ( ARI ) : Can Its 7.3% Jump Turn into More Strength?,Apollo Commerical Finance (ARI) was a big mover last session on higher-than-average trading volume. The latest trend in earnings estimate revisions might not help the stock continue moving higher in the near term.,Zacks Commentary,20250410T131100,"[{'topic': 'Financial Markets', 'relevance_score': '0.998962'}, {'topic': 'Earnings', 'relevance_score': '0.972476'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.272872,BX
IFS vs. BX: Which Stock Is the Better Value Option?,Investors interested in Financial - Miscellaneous Services stocks are likely familiar with Intercorp Financial Services Inc. ( IFS Quick QuoteIFS - ) and Blackstone Inc. ( BX Quick QuoteBX - ) . But which of these two companies is the best option for those looking for undervalued stocks?,Zacks Commentary,20250409T154008,"[{'topic': 'Earnings', 'relevance_score': '0.838487'}, {'topic': 'Finance', 'relevance_score': '1.0'}]",Bullish,0.459584,BX
"The Zacks Analyst Blog Highlights Verizon Communications, The Southern Company, Blackstone, Utah Medical Products and The Eastern Company","Verizon Communications, The Southern Company, Blackstone, Utah Medical Products and The Eastern Company are included in this Analyst Blog.",Zacks Commentary,20250408T102100,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Earnings', 'relevance_score': '0.928769'}]",Somewhat-Bullish,0.292498,BX
"Top Research Reports for Verizon, The Southern Co. & Blackstone","Today's Research Daily features new research reports on 16 major stocks, including Verizon Communications Inc. (VZ), The Southern Company (SO) and Blackstone Inc. (BX), as well as two micro-cap stocks Utah Medical Products, Inc. (UTMD) and The Eastern Company (EML).",Zacks Commentary,20250407T204500,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Earnings', 'relevance_score': '0.928769'}]",Somewhat-Bullish,0.32197,BX
Offshore deals under I-T lens: Tiger Global vs government battle intensifies - ETCFO,"In recent weeks, over a dozen foreign investors have received notices from India's income tax department for allegedly skipping taxes on substantial transactions from 2018 to 2021. These notices point to deals where stocks in Indian companies were bought indirectly through Mauritius, Singapore, ...",Economic Times,20250407T024543,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.206601,BX
