title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
"Every Purchase Matters, With Fair Trade USA's Paul Rice","As consumers become more aware and more discerning about what they buy, companies that embrace Conscious Capitalism will enjoy an ever-growing competitive edge over those that simply look to grow profits and any cost.In this podcast, Motley Fool co-founder David Gardner hosts the founder and CEO ...",Motley Fool,20250415T142200,"[{'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.306434,COST
Prediction: 3 Stocks That'll Be Worth More Than Costco 10 Years From Now,"It's not an easy matter to make predictions about the stock market, since no one really knows what it will do from day to day or even year to year. ( Over long periods, though, it has always gone up. ) Still, I'm here to make a prediction, and I'm predicting that three stocks in particular will ...",Motley Fool,20250415T134500,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.796627'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.614606'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.191728,COST
An Investor's Take on the Latest Tariff News,"President Donald Trump announced a 90-day pause on some tariffs. Meanwhile, the trade dispute with China is heating up.In this podcast, Motley Fool analyst Jason Moser and host Ricky Mulvey discuss:To catch full episodes of all The Motley Fool's free podcasts, check out our podcast center.",Motley Fool,20250415T134400,"[{'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.451494'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}]",Neutral,0.112485,COST
Axonius Appoints Former Disney CISO Ryan Knisley as Chief Product Strategist,"NEW YORK, April 15, 2025 ( GLOBE NEWSWIRE ) -- Axonius, the leader in cyber asset management that delivers visibility and actionability across all digital assets, today announced the appointment of Ryan Knisley as Chief Product Strategist.",Benzinga,20250415T110000,"[{'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.318818,COST
Business school teaching case study: how can managers navigate the changing mood on DEI policies?,The challenge is to understand stakeholder relationships and the broader social consequences of rollbacks ...,Financial Times,20250415T033627,"[{'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}]",Neutral,0.040876,COST
Why Costco  ( COST )  Outpaced the Stock Market Today,"In the most recent trading session, Costco (COST) closed at $979.31, indicating a +1.65% shift from the previous trading day.",Zacks Commentary,20250414T214516,"[{'topic': 'Earnings', 'relevance_score': '0.995921'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",Somewhat-Bullish,0.212555,COST
"Recent Filing Shows That Rep. Scott Franklin Bought Over $16K Worth of Novo Nordisk Stock - Baldwin Insurance  ( NASDAQ:BWIN ) , Amazon.com  ( NASDAQ:AMZN ) ","A April filing shows that Representative Scott Franklin reported a purchase in Novo Nordisk NVO, valued between $16,002 and $65,000. The transaction date is listed as April 11, 2025, with the report published on April 11, 2025. At present, Novo Nordisk shares are trading up 2.8% at $66.54.",Benzinga,20250414T150117,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.990999'}]",Somewhat-Bullish,0.170906,COST
"ASUS Announces ExpertBook P1, P3 and P5 Now Available in Canada","TORONTO, April 14, 2025 ( GLOBE NEWSWIRE ) -- ASUS today announced that the new ExpertBook P1 ( P1403 and P1503 ) laptop models are now available in Canada through the ASUS Store, selected retailers, and B2B channels.",Benzinga,20250414T130000,"[{'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}]",Bullish,0.389503,COST
Should You Buy Costco Stock After March Sales Results?,"Costco delivered another solid month of sales, but is the stock still worth buying at its premium price? Here's what the numbers say about its future potential.",Zacks Commentary,20250414T112100,"[{'topic': 'Earnings', 'relevance_score': '0.839681'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.5855'}]",Bullish,0.479947,COST
"Is Walmart a Buy, Sell, or Hold in 2025?","Investors jumped to a concerning conclusion a couple of months ago, but now the dust is settling.",Motley Fool,20250413T103000,"[{'topic': 'Earnings', 'relevance_score': '0.858979'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}]",Somewhat-Bullish,0.202454,COST
