title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
Arista Networks vs. Cisco: Which Networking Stock is a Better Bet?,CSCO appears to be a better investment option compared to ANET at the moment.,Zacks Commentary,20250415T150500,"[{'topic': 'Earnings', 'relevance_score': '0.955357'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.236932,CSCO
LTRX Stock Slips 27% in a Month Amid Market Jitters: Should You Buy?,"Lantronix gains from its unique portfolio and innovation, but ongoing issues in IoT System Solutions and Software & Services segments remain a concern.",Zacks Commentary,20250415T141600,"[{'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.890401'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.253513,CSCO
Is Cisco  ( CSCO )  a Buy as Wall Street Analysts Look Optimistic?,"The average brokerage recommendation (ABR) for Cisco (CSCO) is equivalent to a Buy. The overly optimistic recommendations of Wall Street analysts make the effectiveness of this highly sought-after metric questionable. So, is it worth buying the stock?",Zacks Commentary,20250415T133009,"[{'topic': 'Earnings', 'relevance_score': '0.938238'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.503496'}]",Somewhat-Bullish,0.327617,CSCO
RADCOM Down 21% in Three Months: Where Will the Stock Head From Here?,"Increasing demand bodes well for RADCOM, but higher costs, execution risks, geopolitical tension and forex exposure remain overhangs.",Zacks Commentary,20250415T123300,"[{'topic': 'Financial Markets', 'relevance_score': '0.929393'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.993856'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.267792,CSCO
Is Invesco Large Cap Value ETF  ( PWV )  a Strong ETF Right Now?,Smart Beta ETF report for ...,Zacks Commentary,20250415T102006,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.999996'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.320967,CSCO
"5G Industrial IOT Market is expected to generate a revenue of USD 22.9 Billion by 2031, Globally, at 37.24% CAGR: Verified Market Research®","Lewes, Delaware, April 14, 2025 ( GLOBE NEWSWIRE ) -- The Global 5G Industrial IOT Market Size is projected to grow at a CAGR of 37.24% from 2024 to 2031, according to a new report published by Verified Market Research®.",Benzinga,20250414T140000,"[{'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.108179'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.25141,CSCO
Cisco Systems  ( CSCO )  Increases Yet Falls Behind Market: What Investors Need to Know,"The latest trading day saw Cisco Systems (CSCO) settling at $57.33, representing a +1.3% change from its previous close.",Zacks Commentary,20250411T214514,"[{'topic': 'Earnings', 'relevance_score': '0.961735'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",Neutral,0.14357,CSCO
3 Large-Cap Value Mutual Funds to Buy Amid Market Uncertainty,"Invest in large-cap value funds like PEQSX, DAGVX and ABVIX to preserve your capital and generate future returns.",Zacks Commentary,20250411T122200,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.682689'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.929393'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}]",Somewhat-Bullish,0.244292,CSCO
"5 Tech Stocks With Surprisingly Strong Dividends - Cisco Systems  ( NASDAQ:CSCO ) , Avnet  ( NASDAQ:AVT ) ","Stocks staged a ferocious rally on Wednesday after President Donald Trump reversed his 'reciprocal' tariff policy in response to plummeting markets and alarming bond market activity. While most countries are now exempt from the steepest import taxes, a 10% flat tariff remains in effect, and the ...",Benzinga,20250410T214415,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.999967'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.795202'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.218934,CSCO
"4 Tech Stocks With Surprisingly Strong Dividends - Cisco Systems  ( NASDAQ:CSCO ) , Avnet  ( NASDAQ:AVT ) ","Stocks staged a ferocious rally on Wednesday after President Donald Trump reversed his 'reciprocal' tariff policy in response to plummeting markets and alarming bond market activity. While most countries are now exempt from the steepest import taxes, a 10% flat tariff remains in effect, and the ...",Benzinga,20250410T214407,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.999967'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.795202'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.218934,CSCO
