title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
QuoteMedia Announces Financial Results for 2024,"PHOENIX, April 15, 2025 ( GLOBE NEWSWIRE ) -- QuoteMedia, Inc. ( OTCQB: QMCI ) , a leading provider of market data and financial applications, announced financial results for the fiscal year ended December 31, 2024.",GlobeNewswire,20250415T201500,"[{'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.999999'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.183166,GE
Harvard Bioscience Announces CFO Transition,"HOLLISTON, Mass., April 10, 2025 ( GLOBE NEWSWIRE ) -- Harvard Bioscience, Inc. ( Nasdaq: HBIO ) ( the ""Company"" ) today announced the resignation of Jennifer Cote, the Company's Chief Financial Officer and Treasurer. Ms. Cote's resignation will be effective upon the filing of the Company's ...",GlobeNewswire,20250410T204500,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.310843'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.203262,GE
Harvard Bioscience Announces CFO Transition - Harvard Bioscience  ( NASDAQ:HBIO ) ,"HOLLISTON, Mass., April 10, 2025 ( GLOBE NEWSWIRE ) -- Harvard Bioscience, Inc. HBIO ( the ""Company"" ) today announced the resignation of Jennifer Cote, the Company's Chief Financial Officer and Treasurer.",Benzinga,20250410T204500,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.214583,GE
General Electric And Caterpillar Lead XLI Pullback: What's Going On? - SPDR Select Sector Fund - Industrial  ( ARCA:XLI ) ,The Industrial Select Sector SPDR Fund declined 2.2% Thursday morning. Investors moved to lock in profits despite a surprisingly soft inflation report that reinforced Wednesday's bullish macro shift. Pelosi's latest AI pick skyrocketed 169% in just one month.,Benzinga,20250410T151745,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.928139'}, {'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}]",Neutral,-0.030067,GE
"This General Motors Analyst Is No Longer Bullish; Here Are Top 5 Downgrades For Thursday - BorgWarner  ( NYSE:BWA ) , AES  ( NYSE:AES ) ","Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades, downgrades and initiations, please see our analyst ratings page. UBS analyst Joseph Spak downgraded the rating for BorgWarner Inc.",Benzinga,20250410T130833,"[{'topic': 'Financial Markets', 'relevance_score': '0.413559'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.185645,GE
Should You Invest in the Industrial Select Sector SPDR ETF  ( XLI ) ?,Sector ETF report for ...,Zacks Commentary,20250410T102004,"[{'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.180618,GE
"Boeing Gets A Boost As VietJet Secures $300 Million Financing, Considers 787 Purchase And Expands $24 Billion MAX Order: Report - GE Aerospace  ( NYSE:GE ) , Boeing  ( NYSE:BA ) ","VietJet Air has secured a $300 million financial agreement with AV AirFinance, strengthening its fleet expansion plans while potentially providing Boeing Co. BA with additional business as the aircraft manufacturer works to recover from recent challenges.",Benzinga,20250410T095310,"[{'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",Bullish,0.360103,GE
GE Vernova  ( GEV )  Gains As Market Dips: What You Should Know,"GE Vernova (GEV) closed at $286.89 in the latest trading session, marking a +0.29% move from the prior day.",Zacks Commentary,20250408T220015,"[{'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '0.986564'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}]",Somewhat-Bullish,0.20041,GE
"Industrial Select Sector SPDR Fund  ( XLI )  Is Rising: What's Going On? - SPDR Select Sector Fund - Industrial  ( ARCA:XLI ) , GE Aerospace  ( NYSE:GE ) , Boeing  ( NYSE:BA ) ","Tariff fears have dragged XLI down as global trade tensions rattled industrial sector confidence. Rising costs, slowing demand and supply chain disruptions threaten profits for top industrial ETF holdings. Feel unsure about the market's next move?",Benzinga,20250408T145541,"[{'topic': 'Economy - Fiscal', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.967645'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Neutral,-0.143185,GE
Should You Invest in the SPDR S&P Aerospace & Defense ETF  ( XAR ) ?,Sector ETF report for ...,Zacks Commentary,20250408T102009,"[{'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.205696,GE
