title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
Home Depot  ( HD )  Sees a More Significant Dip Than Broader Market: Some Facts to Know,"In the latest trading session, Home Depot (HD) closed at $354.11, marking a -0.87% move from the previous day.",Zacks Commentary,20250415T214516,"[{'topic': 'Earnings', 'relevance_score': '0.961735'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}]",Neutral,0.129342,HD
An Investor's Take on the Latest Tariff News,"President Donald Trump announced a 90-day pause on some tariffs. Meanwhile, the trade dispute with China is heating up.In this podcast, Motley Fool analyst Jason Moser and host Ricky Mulvey discuss:To catch full episodes of all The Motley Fool's free podcasts, check out our podcast center.",Motley Fool,20250415T134400,"[{'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.451494'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}]",Neutral,0.112485,HD
Jewett-Cameron Reports Fiscal 2025 Second Quarter Operational and Financial Results - Jewett-Cameron Trading  ( NASDAQ:JCTC ) ,"NORTH PLAINS, Ore., April 14, 2025 ( GLOBE NEWSWIRE ) -- Jewett-Cameron Trading Company Ltd. JCTC, a company committed to innovative products that enrich outdoor spaces, today announced operational and financial results for the fiscal 2025 second quarter for the period ended February 28, 2025.",Benzinga,20250414T200500,"[{'topic': 'Earnings', 'relevance_score': '0.744043'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.990999'}]",Somewhat-Bullish,0.250666,HD
"Amazon and McDonald's Lead XLY Pullback As Consumer Stocks Dip After Tariff-Driven Rally - SPDR Select Sector Fund - Consumer Discretionary  ( ARCA:XLY ) , Home Depot  ( NYSE:HD ) , Amazon.com  ( NASDAQ:AMZN ) , McDonald's  ( NYSE:MCD ) ","XLY slipped Thursday as investors took profits following Wednesday's tariff-driven consumer stock rally. Cooling inflation supported sentiment, but Amazon, Tesla, and others retreated after sharp previous gains. Pelosi's latest AI pick skyrocketed 169% in just one month.",Benzinga,20250410T193257,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.890401'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.87644'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Neutral,0.097915,HD
Williams-Sonoma  ( WSM )  Soars 13.7%: Is Further Upside Left in the Stock?,Williams-Sonoma (WSM) saw its shares surge in the last session with trading volume being higher than average. The latest trend in earnings estimate revisions may not translate into further price increase in the near term.,Zacks Commentary,20250410T143500,"[{'topic': 'Earnings', 'relevance_score': '0.976913'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}]",Somewhat-Bullish,0.191255,HD
Every Toro Investor Should Keep an Eye on This Number,"Suppose you want an early read on trading conditions at turf and landscape equipment company Toro ( NASDAQ: TORO ) . In that case, monitoring what competitors and retailers are saying is a good idea.Major competitors of Toro include Stanley Black & Decker ( MTD Products ) in residential lawn ...",Motley Fool,20250410T125500,"[{'topic': 'Economy - Fiscal', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.576289'}]",Somewhat-Bullish,0.155711,HD
Stock Market Crash: Here's 1 High-Dividend Stock That Could Be a Steal Right Now,"Real estate investment trusts, or REITs, aren't well known for their volatility, and as a group, they tend to be more resilient than the typical S&P 500 company during tough times.We're seeing this during the recent market downturn.",Motley Fool,20250409T103200,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.962106'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.181229,HD
Why Home Depot  ( HD )  Dipped More Than Broader Market Today,"Home Depot (HD) concluded the recent trading session at $334.81, signifying a -1.96% move from its prior day's close.",Zacks Commentary,20250408T214515,"[{'topic': 'Earnings', 'relevance_score': '0.95493'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}]",Neutral,0.110838,HD
Decoding Home Depot's Options Activity: What's the Big Picture? - Home Depot  ( NYSE:HD ) ,"Whales with a lot of money to spend have taken a noticeably bullish stance on Home Depot. Looking at options history for Home Depot HD we detected 8 trades. If we consider the specifics of each trade, it is accurate to state that 50% of the investors opened trades with bullish expectations and ...",Benzinga,20250408T171411,"[{'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.980922'}]",Somewhat-Bullish,0.221558,HD
"This House of Representative Just Bought Up To $60K In Home Depot Stock - IBM  ( NYSE:IBM ) , Home Depot  ( NYSE:HD ) ","Records from April 7, 2025 indicate that Representative Lloyd Doggett of Texas made a purchase of Home Depot HD, valued between $4,004 and $60,000, with the transaction dated April 7, 2025 and filed in April. As of now, Home Depot shares are trading up 2.67% at $350.64.",Benzinga,20250408T150020,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.996023'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.175513,HD
