title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
"Intuitive Surgical, Inc.  ( ISRG )  Reports Next Week: Wall Street Expects Earnings Growth",Intuitive Surgical (ISRG) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Zacks Commentary,20250415T140030,"[{'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}]",Somewhat-Bullish,0.193524,ISRG
Can ISRG Stock Revive its Growth Momentum After the Sudden Slide?,Intuitive Surgical has maintained an uptrend since late 2022 with price correcting to 200-DMA a few times and again continuing the uptrend. Will it repeat?,Zacks Commentary,20250415T112200,"[{'topic': 'Earnings', 'relevance_score': '0.967645'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.999365'}]",Somewhat-Bullish,0.163512,ISRG
"Intuitive Surgical, Inc.  ( ISRG )  Stock Falls Amid Market Uptick: What Investors Need to Know","Intuitive Surgical, Inc. (ISRG) concluded the recent trading session at $490.13, signifying a -0.7% move from its prior day's close.",Zacks Commentary,20250414T220015,"[{'topic': 'Earnings', 'relevance_score': '0.986564'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",Somewhat-Bullish,0.153858,ISRG
Intuitive Surgical Shares May Rise as FDA Clears SureForm 45 Stapler,"ISRG secures FDA clearance for the first stapler designed for single-port robotic surgery, advancing minimally invasive procedures and enhancing surgical precision.",Zacks Commentary,20250414T133900,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Earnings', 'relevance_score': '0.999483'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.243039,ISRG
Should You Invest in the iShares U.S. Medical Devices ETF  ( IHI ) ?,Sector ETF report for IHI ...,Zacks Commentary,20250414T102005,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.223702,ISRG
Nasdaq Market Whiplash: 3 Stocks to Buy Hand Over Fist and Hold for Decades,"""May you live in interesting times.""That probably isn't an ancient Chinese curse as some think. However, many investors might wish that the times we live in weren't quite as interesting -- especially when it comes to the Nasdaq Composite ( NASDAQINDEX: ^IXIC ) .Only a few days ago, the Nasdaq was ...",Motley Fool,20250412T084800,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Earnings', 'relevance_score': '0.891286'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.281862,ISRG
"SoftBank Bets $200M On CMR Surgical, The UK Startup Taking On $178B Intuitive With Robots That Have Performed 30,000 Surgeries","In the world of medical tech-dominated by giants, one UK-based startup is going for the jugular. CMR Surgical just got itself more than $200 million in new capital to pump the pedal down on a global rollout of its surgical robotics system and, even more daring, to make a serious dent in the U.S. ...",Benzinga,20250410T193156,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.218088,ISRG
Intuitive Surgical  ( ISRG )  Moves 14.3% Higher: Will This Strength Last?,Intuitive Surgical (ISRG) saw its shares surge in the last session with trading volume being higher than average. The latest trend in earnings estimate revisions could translate into further price increase in the near term.,Zacks Commentary,20250410T153700,"[{'topic': 'Earnings', 'relevance_score': '0.972476'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}]",Somewhat-Bullish,0.242719,ISRG
5 Top Growth Stocks to Buy in the Stock Market Sell-Off,"Equity markets may be struggling because of President Donald Trump's current economic policies, but that doesn't mean investors should avoid buying stocks right now -- quite the contrary. History tells us that equities tend to experience strong runs following downturns, so it's worth putting ...",Motley Fool,20250409T140000,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.87644'}, {'topic': 'Earnings', 'relevance_score': '0.538269'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Bullish,0.391155,ISRG
"Intuitive Surgical, Inc.  ( ISRG )  Stock Moves -1.29%: What You Should Know","Intuitive Surgical, Inc. (ISRG) closed at $457.63 in the latest trading session, marking a -1.29% move from the prior day.",Zacks Commentary,20250408T220015,"[{'topic': 'Earnings', 'relevance_score': '0.961735'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}]",Neutral,0.149686,ISRG
