title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker,llm_evidence,llm_predicted_movement,llm_explanation
"JNJ Tops Q1 Earnings, Ups '25 Sales View to Include Intra-Cellular Deal",J&J beats first-quarter earnings and sales estimates. It raises sales guidance for 2025 to reflect the addition of Caplyta from the Intra-Cellular acquisition.,Zacks Commentary,20250415T151400,"[{'topic': 'Earnings', 'relevance_score': '0.999594'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}]",Neutral,0.076771,JNJ,"['JNJ Tops Q1 Earnings', 'Raises sales guidance for 2025', 'Intra-Cellular acquisition']",Up,"The evidence suggests positive news for JNJ, with beating Q1 earnings and raising sales guidance for 2025 due to the Intra-Cellular acquisition. This indicates growth potential and increased revenue streams, likely leading to an upward movement in the stock price in the short term."
Import Prices Turn Negative for First Time Since September,"New economic data is out this morning, some of it reflecting conditions prior to our current tariff realities. We also see Q1 earnings results continue to ramp up, but we won't have the spigots open completely til next week.",Zacks Commentary,20250415T150400,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.360215'}, {'topic': 'Earnings', 'relevance_score': '0.938238'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Neutral,0.095054,JNJ,"['Import Prices Turn Negative', 'Q1 earnings results continue to ramp up']",Down,"The headline indicating negative import prices could signal potential economic slowdown or decreased consumer spending, which may negatively impact JNJ's stock price. Additionally, the uncertainty mentioned in the summary about tariff realities and the gradual opening of spigots suggest a cautious approach, leading to a potential downward movement in the short term."
"Import Prices, Empire State Come In Mild; Q1 Earnings Beats Abound","Pre-markets are down somewhat, following yesterday's +3/4-percent gain on the Dow and the S&P 500, +2/3-percent gain for the Nasdaq.",Zacks Commentary,20250415T141900,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.360215'}, {'topic': 'Earnings', 'relevance_score': '0.986413'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Neutral,0.090163,JNJ,"['Pre-markets are down somewhat', ""yesterday's +3/4-percent gain on the Dow and the S&P 500"", '+2/3-percent gain for the Nasdaq']",Up,"Despite the pre-market being down somewhat, the recent gains in major indices like the Dow, S&P 500, and Nasdaq indicate positive momentum in the market. This suggests that JNJ is likely to experience an upward movement in the short term."
"Compared to Estimates, Johnson & Johnson  ( JNJ )  Q1 Earnings: A Look at Key Metrics","While the top- and bottom-line numbers for Johnson & Johnson (JNJ) give a sense of how the business performed in the quarter ended March 2025, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",Zacks Commentary,20250415T133005,"[{'topic': 'Earnings', 'relevance_score': '0.929393'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.252836,JNJ,"['top-line numbers', 'bottom-line numbers', 'key metrics compare to Wall Street estimates', 'quarter ended March 2025']",Up,"The headline and summary indicate that Johnson & Johnson's Q1 earnings performance is being compared to estimates and key metrics. The focus on how the key metrics compare to Wall Street estimates suggests that there may be positive surprises or outperformance. This, coupled with the somewhat-bullish sentiment, indicates a likely short-term stock movement upwards."
"Johnson & Johnson Q1 Earnings: Strong Cancer Drug Sales, Boosts Quarterly Dividend, Anticipates Negative Currency Impact For 2025 Profit - Johnson & Johnson  ( NYSE:JNJ ) ","Q1 adjusted EPS of $2.77 beat estimates; cancer drug Darzalex sales jumped 20.3% to $3.24 billion. 2025 sales forecast raised to up to $91.8 billion; dividend hiked 4.8% to $1.30 per share, payable June 10. China's new tariffs just reignited the same market patterns that led to triple- and ...",Benzinga,20250415T130910,"[{'topic': 'Earnings', 'relevance_score': '0.316726'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.77141'}]",Somewhat-Bullish,0.172939,JNJ,"['Strong Cancer Drug Sales', 'Boosts Quarterly Dividend', '2025 sales forecast raised', 'Dividend hiked 4.8%']",Up,"The evidence suggests positive developments for Johnson & Johnson, such as strong sales of their cancer drug, raising sales forecast for 2025, and increasing the quarterly dividend. These factors indicate a positive outlook for the company, likely leading to an increase in stock price in the short term."
Johnson & Johnson  ( JNJ )  Q1 Earnings and Revenues Beat Estimates,"Johnson & Johnson (JNJ) delivered earnings and revenue surprises of 7.78% and 1.26%, respectively, for the quarter ended March 2025. Do the numbers hold clues to what lies ahead for the stock?",Zacks Commentary,20250415T113502,"[{'topic': 'Earnings', 'relevance_score': '0.999997'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}]",Neutral,0.144269,JNJ,"['Earnings and Revenues Beat Estimates', 'Delivered earnings and revenue surprises of 7.78% and 1.26%']",Up,"The headline and summary indicate that Johnson & Johnson (JNJ) exceeded earnings and revenue estimates for the first quarter of 2025. This positive surprise is likely to instill confidence in investors, leading to a potential increase in the stock price in the short term."
Can ISRG Stock Revive its Growth Momentum After the Sudden Slide?,Intuitive Surgical has maintained an uptrend since late 2022 with price correcting to 200-DMA a few times and again continuing the uptrend. Will it repeat?,Zacks Commentary,20250415T112200,"[{'topic': 'Earnings', 'relevance_score': '0.967645'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.999365'}]",Somewhat-Bullish,0.163512,JNJ,"['Revive its Growth Momentum', 'Uptrend since late 2022', 'Continuing the uptrend']",Up,"The evidence suggests that Intuitive Surgical (ISRG) has been on an uptrend since late 2022 and is expected to continue. The phrase 'Revive its Growth Momentum' indicates a potential resurgence in growth. Therefore, the sentiment of 'Somewhat-Bullish' aligns with the positive outlook for ISRG, leading to a likely short-term stock movement of 'Up'."
Genmab Announces Net Sales of DARZALEX®  ( daratumumab )  for First Quarter of 2025,Company Announcement ...,GlobeNewswire,20250415T102200,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.158519'}]",Neutral,0.014436,JNJ,"['Net Sales', 'First Quarter of 2025']",Up,The announcement of positive net sales for DARZALEX in the first quarter of 2025 indicates strong performance for JNJ. This could lead to increased investor confidence and potentially drive the stock price up in the short term.
"US Stock Futures Waver After Two-Day Rally: Trump's Tariff Moves Could End A 3-Year 'Rolling Recession,' Says Expert - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",U.S. stock futures were volatile on Tuesday following a two-day advance. Futures of major benchmark indices were mixed in premarket. Donald Trump hinted at helping the car companies while talking to reporters in his Oval Office on Monday.,Benzinga,20250415T100831,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.451494'}, {'topic': 'Financial Markets', 'relevance_score': '0.99676'}, {'topic': 'Earnings', 'relevance_score': '0.997874'}, {'topic': 'Economy - Macro', 'relevance_score': '0.158519'}]",Neutral,0.146726,JNJ,"['US Stock Futures Waver', 'Two-Day Rally', 'Mixed in premarket', 'Donald Trump hinted at helping the car companies']",Neutral,"Based on the evidence extracted, the sentiment is neutral as the news contains mixed signals. The headline mentions stock futures wavering after a two-day rally, indicating uncertainty. Additionally, the mention of Donald Trump hinting at helping car companies could have varying impacts on different sectors, leading to a neutral sentiment overall. Therefore, the short-term stock movement of JNJ is likely to remain neutral."
"Citigroup, Bank Of America And 3 Stocks To Watch Heading Into Tuesday - Citigroup  ( NYSE:C ) , Bank of America  ( NYSE:BAC ) ","With U.S. stock futures trading lower this morning on Tuesday, some of the stocks that may grab investor focus today are as follows: Wall Street expects Citigroup Inc. C to report quarterly earnings at $1.85 per share on revenue of $21.29 billion before the opening bell, according to data from ...",Benzinga,20250415T083932,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.459462'}, {'topic': 'Earnings', 'relevance_score': '0.997874'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.267546,JNJ,"['stock futures trading lower', 'grab investor focus', 'quarterly earnings at $1.85 per share', 'revenue of $21.29 billion']",Up,"The evidence suggests that there is a negative sentiment in the market with stock futures trading lower. However, the focus on Citigroup's expected positive quarterly earnings and revenue could lead to increased investor interest and confidence in the stock, potentially driving the short-term stock movement of JNJ upwards."
Johnson & Johnson Gears Up For Q1 Print; Here Are The Recent Forecast Changes From Wall Street's Most Accurate Analysts - Johnson & Johnson  ( NYSE:JNJ ) ,"Johnson & Johnson JNJ will release earnings results for the first quarter, before the opening bell on Tuesday, April 15. Analysts expect the New Brunswick, New Jersey-based company to report quarterly earnings at $2.58 per share, down from $2.71 per share in the year-ago period.",Benzinga,20250415T073301,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Earnings', 'relevance_score': '0.714479'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.196476,JNJ,"['earnings results', 'analysts expect', 'report quarterly earnings at $2.58 per share', 'Somewhat-Bullish']",Up,"Based on the news that Johnson & Johnson is expected to report quarterly earnings slightly lower than the year-ago period, but the sentiment being somewhat bullish indicates that investors are optimistic about the company's future prospects. This positive sentiment is likely to drive the stock price up in the short term following the earnings release."
"US Stock Futures Slip As Investors Brace Themselves For Netflix, AmEx Earnings This Week - Nikkei Up On Strong Sentiment - Bank of America  ( NYSE:BAC ) , American Express  ( NYSE:AXP ) ","After two days of back-to-back gains in the spot market, U.S. stock futures had a choppy session Monday night as investors await earnings reports from multiple prominent companies.",Benzinga,20250415T020837,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.796627'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Economy - Macro', 'relevance_score': '0.158519'}]",Neutral,0.138995,JNJ,"['back-to-back gains in the spot market', 'investors await earnings reports']",Neutral,The evidence suggests a mixed sentiment with gains in the spot market but uncertainty due to awaiting earnings reports. This mixed sentiment is likely to keep the stock movement neutral in the short term as investors weigh the potential impact of upcoming earnings on JNJ's stock price.
Applied Therapeutics Reports Fourth Quarter and Year-end 2024 Financial Results,"- Appointed John H. Johnson as Executive Chairman. Todd F. Baumgartner, MD, MPH as Chief Regulatory Officer. and Reena Thomas Colacot as Vice President and Head of Quality ...",GlobeNewswire,20250414T215000,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}, {'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.155646,JNJ,"['Financial Results', 'Appointed John H. Johnson as Executive Chairman', 'Chief Regulatory Officer', 'Vice President and Head of Quality']",Up,"The appointment of key executives like John H. Johnson and Todd F. Baumgartner, along with the positive financial results, indicates a strengthening leadership team and potential growth prospects for JNJ. This could lead to increased investor confidence and a likely short-term upward movement in the stock price."
"JPMorgan, Wells Fargo, Morgan Stanley, Netflix, UnitedHealthcare, Johnson & Johnson and CSX Corp are part of Zacks Earnings Preview","JPMorgan, Wells Fargo, Morgan Stanley, Netflix, UnitedHealthcare, Johnson & Johnson and CSX Corp have been highlighted in this Earnings Preview article.",Zacks Commentary,20250414T072200,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.962106'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Neutral,0.038431,JNJ,['highlighted in this Earnings Preview article'],Neutral,"The sentiment label 'Neutral' suggests that there is no strong positive or negative sentiment towards JNJ based on the highlighted phrases in the summary. Therefore, the likely short-term stock movement of JNJ would be neutral or stable as well, neither significantly up nor down."
Novartis  ( NVS )  Surges 4.0%: Is This an Indication of Further Gains?,Novartis (NVS) witnessed a jump in share price last session on above-average trading volume. The latest trend in earnings estimate revisions for the stock doesn't suggest further strength down the road.,Zacks Commentary,20250414T063000,"[{'topic': 'Earnings', 'relevance_score': '0.976913'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}]",Somewhat-Bullish,0.217841,JNJ,"['Surges 4.0%', 'jump in share price', 'above-average trading volume']",Up,"The evidence suggests that Novartis (NVS) experienced a significant increase in share price with above-average trading volume, indicating strong positive momentum. This aligns with the sentiment label of 'Somewhat-Bullish', implying that the short-term stock movement for JNJ is likely to be 'Up'."
"Jim Cramer's week ahead: Earnings from Goldman Sachs, Johnson & Johnson and Netflix",CNBC's Jim Cramer on Friday told investors which market-moving events to follow next week.,CNBC,20250411T225659,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.94762'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Earnings', 'relevance_score': '0.890401'}]",Neutral,0.102159,JNJ,"['Earnings from Johnson & Johnson', 'market-moving events to follow next week']",Up,"The mention of earnings from Johnson & Johnson in the headline indicates a significant event for the company. Additionally, the focus on market-moving events in the summary suggests potential positive developments. Investors may anticipate positive news or performance from JNJ, leading to a likely short-term stock movement up."
Are Tariff Worries Affecting the Earnings Outlook?,There are many valid reasons for the market to remain focused on tariffs since so much is happening in the broader economy. But how are they affecting the earnings outlook for the coming periods?,Zacks Commentary,20250411T221700,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.796627'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Neutral,0.031238,JNJ,"['Tariff Worries', 'Earnings Outlook', 'Market focused on tariffs', 'Affecting the earnings outlook']",Neutral,"Given the neutral sentiment and the focus on tariff worries affecting the earnings outlook, it is likely that the stock movement of JNJ will remain stable in the short-term. The market is uncertain about the impact of tariffs on the company's earnings, leading to a neutral stance on the stock movement."
