title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
"JNJ Tops Q1 Earnings, Ups '25 Sales View to Include Intra-Cellular Deal",J&J beats first-quarter earnings and sales estimates. It raises sales guidance for 2025 to reflect the addition of Caplyta from the Intra-Cellular acquisition.,Zacks Commentary,20250415T151400,"[{'topic': 'Earnings', 'relevance_score': '0.999594'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}]",Neutral,0.076771,JNJ
Import Prices Turn Negative for First Time Since September,"New economic data is out this morning, some of it reflecting conditions prior to our current tariff realities. We also see Q1 earnings results continue to ramp up, but we won't have the spigots open completely til next week.",Zacks Commentary,20250415T150400,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.360215'}, {'topic': 'Earnings', 'relevance_score': '0.938238'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Neutral,0.095054,JNJ
"Import Prices, Empire State Come In Mild; Q1 Earnings Beats Abound","Pre-markets are down somewhat, following yesterday's +3/4-percent gain on the Dow and the S&P 500, +2/3-percent gain for the Nasdaq.",Zacks Commentary,20250415T141900,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.360215'}, {'topic': 'Earnings', 'relevance_score': '0.986413'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Neutral,0.090163,JNJ
"Compared to Estimates, Johnson & Johnson  ( JNJ )  Q1 Earnings: A Look at Key Metrics","While the top- and bottom-line numbers for Johnson & Johnson (JNJ) give a sense of how the business performed in the quarter ended March 2025, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",Zacks Commentary,20250415T133005,"[{'topic': 'Earnings', 'relevance_score': '0.929393'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.252836,JNJ
"Johnson & Johnson Q1 Earnings: Strong Cancer Drug Sales, Boosts Quarterly Dividend, Anticipates Negative Currency Impact For 2025 Profit - Johnson & Johnson  ( NYSE:JNJ ) ","Q1 adjusted EPS of $2.77 beat estimates; cancer drug Darzalex sales jumped 20.3% to $3.24 billion. 2025 sales forecast raised to up to $91.8 billion; dividend hiked 4.8% to $1.30 per share, payable June 10. China's new tariffs just reignited the same market patterns that led to triple- and ...",Benzinga,20250415T130910,"[{'topic': 'Earnings', 'relevance_score': '0.316726'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.77141'}]",Somewhat-Bullish,0.172939,JNJ
Johnson & Johnson  ( JNJ )  Q1 Earnings and Revenues Beat Estimates,"Johnson & Johnson (JNJ) delivered earnings and revenue surprises of 7.78% and 1.26%, respectively, for the quarter ended March 2025. Do the numbers hold clues to what lies ahead for the stock?",Zacks Commentary,20250415T113502,"[{'topic': 'Earnings', 'relevance_score': '0.999997'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}]",Neutral,0.144269,JNJ
Can ISRG Stock Revive its Growth Momentum After the Sudden Slide?,Intuitive Surgical has maintained an uptrend since late 2022 with price correcting to 200-DMA a few times and again continuing the uptrend. Will it repeat?,Zacks Commentary,20250415T112200,"[{'topic': 'Earnings', 'relevance_score': '0.967645'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.999365'}]",Somewhat-Bullish,0.163512,JNJ
Genmab Announces Net Sales of DARZALEX®  ( daratumumab )  for First Quarter of 2025,Company Announcement ...,GlobeNewswire,20250415T102200,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.158519'}]",Neutral,0.014436,JNJ
"US Stock Futures Waver After Two-Day Rally: Trump's Tariff Moves Could End A 3-Year 'Rolling Recession,' Says Expert - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",U.S. stock futures were volatile on Tuesday following a two-day advance. Futures of major benchmark indices were mixed in premarket. Donald Trump hinted at helping the car companies while talking to reporters in his Oval Office on Monday.,Benzinga,20250415T100831,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.451494'}, {'topic': 'Financial Markets', 'relevance_score': '0.99676'}, {'topic': 'Earnings', 'relevance_score': '0.997874'}, {'topic': 'Economy - Macro', 'relevance_score': '0.158519'}]",Neutral,0.146726,JNJ
"Citigroup, Bank Of America And 3 Stocks To Watch Heading Into Tuesday - Citigroup  ( NYSE:C ) , Bank of America  ( NYSE:BAC ) ","With U.S. stock futures trading lower this morning on Tuesday, some of the stocks that may grab investor focus today are as follows: Wall Street expects Citigroup Inc. C to report quarterly earnings at $1.85 per share on revenue of $21.29 billion before the opening bell, according to data from ...",Benzinga,20250415T083932,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.459462'}, {'topic': 'Earnings', 'relevance_score': '0.997874'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.267546,JNJ
