title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
Why PepsiCo Stock Tanked Today,"On Tuesday, PepsiCo ( NASDAQ: PEP ) didn't provide much of a sugary, caffeinated buzz for its shareholders. It wasn't directly the company's fault, as the key reason for the dip was an analyst's recommendation downgrade.",Motley Fool,20250415T222850,"[{'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Somewhat-Bearish,-0.165971,KO
Salaam Cola Builds an Empire on Flavor Ethics and Global Solidarity,"ISTANBUL, April 15, 2025 ( GLOBE NEWSWIRE ) -- On an overcast afternoon in Turkey, the scent of cola syrup lingers faintly in the air outside a modest bottling plant. It sits unassuming, nestled between rows of small businesses in a redeveloped industrial park.",Benzinga,20250415T215606,"[{'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.187959,KO
PepsiCo Still A Buy? Not Anymore As Analysts 'Run Out Of Answers' - PepsiCo  ( NASDAQ:PEP ) ,"Analyst downgrades PepsiCo, cites slow growth at Frito-Lay. Marketing efforts in 2024 failed to boost PepsiCo's sales. China's new tariffs just reignited the same market patterns that led to triple- and quadruple-digit wins for Matt Maley. Get Matt's next trade alert free.",Benzinga,20250415T200036,"[{'topic': 'Financial Markets', 'relevance_score': '0.538269'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.650727'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Neutral,0.093811,KO
CELH vs. MNST: Which Energy Drink Giant is the Better Bet Now?,"While MNST has a global reach and stable financials, CELH is a higher-growth opportunity driven by product innovation and expansion.",Zacks Commentary,20250415T145200,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Financial Markets', 'relevance_score': '0.459462'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '0.961735'}]",Somewhat-Bullish,0.339158,KO
RiverBeat Releases Detailed Daily Schedule and Recommits to Positive Legacy to Support Stax Music Academy and Soulsville Foundation,"MEMPHIS, Tenn., April 15, 2025 /PRNewswire/ -- Mempho Presents has announced the complete lineup and schedule for this year's RiverBeat Music Festival, May 2-4, 2025, at Tom Lee Park. Festival attendees can now plan their weekend to catch all their favorite acts across multiple stages.",Benzinga,20250415T134400,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Bullish,0.530978,KO
J & J SNACK FOODS SCHEDULES FISCAL 2025 SECOND QUARTER EARNINGS CONFERENCE CALL AND WEBCAST,"MOUNT LAUREL, N.J., April 15, 2025 ( GLOBE NEWSWIRE ) -- J & J Snack Foods Corp. ( NASDAQ: JJSF ) announced today that it has scheduled a conference call and webcast to discuss its fiscal 2025 second quarter financial results on Tuesday, May 6, 2025, at 10:00 am Eastern time.",GlobeNewswire,20250415T131500,"[{'topic': 'Manufacturing', 'relevance_score': '1.0'}]",Neutral,0.114607,KO
Desiring Durable Passive Income During an Economic Downturn? These Elite Dividend Stocks Have Hiked Their Payouts In Each of the Last 4 Recessions.,"Economic forecasters are raising the odds that we could experience a recession in the coming quarters. Goldman Sachs has hiked its recession probability a few times in recent weeks, bumping it from 20% all the way to 45%. Meanwhile, JPMorgan is even more bearish.",Motley Fool,20250415T110900,"[{'topic': 'Financial Markets', 'relevance_score': '0.495866'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.904684'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.226201,KO
How Dividend Stocks like Coca-Cola Can Help You Rest Easy Amid Stock Market Unrest,"Coca-Cola ( NYSE: KO ) is a famous company with an iconic brand known the world over. Operating in the consumer staples space, consumers tend to keep buying its products right through periods of stock market and economic turmoil.",Motley Fool,20250415T085500,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.998682'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}]",Neutral,0.140001,KO
Get Income Like Warren Buffett: 3 Dividend Stocks in Berkshire Hathaway's Portfolio That Pay You Back,"Warren Buffett is famous because of the long-term success he has achieved running Berkshire Hathaway. But there are two interesting things about this company. First, it is run kind of like a mutual fund. Second, it doesn't pay dividends despite the fact that Buffett often invests in ...",Motley Fool,20250415T082300,"[{'topic': 'Financial Markets', 'relevance_score': '0.999967'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.272564,KO
FEMSA Schedules Conference Call to Discuss First Quarter Financial Results - Fomento Economico  ( NYSE:FMX ) ,"MONTERREY, Mexico, April 14, 2025 ( GLOBE NEWSWIRE ) -- Fomento Económico Mexicano, S.A.B. de C.V. ( ""FEMSA"" or the ""Company"" ) FMXFEMSAUBD FEMSAUB ) ) is pleased to invite you to participate in its First Quarter Conference Call that will be held on:",Benzinga,20250414T220226,"[{'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.200577,KO
