title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
Eli Lilly  ( LLY )  Gains As Market Dips: What You Should Know,"In the most recent trading session, Eli Lilly (LLY) closed at $757.18, indicating a +0.38% shift from the previous trading day.",Zacks Commentary,20250415T214516,"[{'topic': 'Earnings', 'relevance_score': '0.986564'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",Neutral,0.070713,LLY
Skye Bioscience's Obesity Candidate Shows 30% Weight Loss When Combined With Eli Lilly's Blockbuster Drug In Animal Models - Skye Bioscience  ( NASDAQ:SKYE ) ,"Nimacimab plus tirzepatide cut weight by 30%+ in mice; nimacimab alone showed 23.5% loss, matching tirzepatide and monlunabant. Volume spiked to 18.49 million vs. 196K average as Skye released new data on nimacimab's stable potency under high CB1 agonist levels. Feel unsure about the market's ...",Benzinga,20250415T194205,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}]",Neutral,0.038644,LLY
"Eli Lilly's Mounjaro Launch Triggers Weight-Loss Drug Craze In India, Novo Nordisk Seeks To Move Up Wegovy Launch - Eli Lilly  ( NYSE:LLY ) ","Elevate Now received 200+ calls in one week about Mounjaro after its launch. Mounjaro is priced at ₹4,375 ( $50.86 ) for 5 mg and ₹3,500 for 2.5 mg in India. China's new tariffs just reignited the same market patterns that led to triple- and quadruple-digit wins for Matt Maley.",Benzinga,20250415T190643,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",Somewhat-Bullish,0.161126,LLY
Pfizer Halts Obesity Pill Development Amid Safety Concerns,PFE's decision to scrap the development of danuglipron comes after a study participant develops potential drug-induced liver injury.,Zacks Commentary,20250415T165700,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Neutral,0.134194,LLY
VERV Stock Soars on Superior Efficacy in Phase I Cholesterol Study,Verve Therapeutics stock rises on demonstrating superior LDL-C lowering ability in a phase Ib study of VERVE-102 in patients with HeFH and/or CAD.,Zacks Commentary,20250415T162700,"[{'topic': 'Earnings', 'relevance_score': '0.9545'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.150164,LLY
"NVO, LLY, GPCR & VKTX Stocks Gain Following PFE's Obesity Study Setback","Shares of Novo Nordisk, Eli Lilly, Structure Therapeutics and Viking Therapeutics gain as PFE abandons development of its obesity candidate, danuglipron, due to safety issues.",Zacks Commentary,20250415T140000,"[{'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.179763,LLY
Verve Therapeutics Touts Positive Data From Gene Editing Medicine To Lower Cholesterol After Single Dose - Verve Therapeutics  ( NASDAQ:VERV ) ,A single dose of VERVE-102 led to a 53% mean and 69% max LDL-C reduction at 0.6 mg/kg. No treatment-related SAEs or lab abnormalities were observed in 14 participants across three dose levels. China's new tariffs just reignited the same market patterns that led to triple- and quadruple-digit ...,Benzinga,20250414T153454,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",Neutral,0.112046,LLY
"Why Eli Lilly, Novo Nordisk, and Viking Therapeutics Stocks All Popped Today","Pfizer bows, but is not entirely out of the GLP-1 race.",Motley Fool,20250414T151230,"[{'topic': 'Earnings', 'relevance_score': '0.744043'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",Neutral,0.112246,LLY
"What's Going On With Viking Therapeutics, Structure Therapeutics Stock On Monday? - Viking Therapeutics  ( NASDAQ:VKTX ) , Structure Therapeutics  ( NASDAQ:GPCR ) ",Roche's CT-996 showed 6.1% mean weight loss in just 4 weeks in obese patients without type 2 diabetes. Structure Therapeutics' GSBR-1290 cut weight by 6.2% over 12 weeks in its Phase 2a obesity trial. Feel unsure about the market's next move?,Benzinga,20250414T144919,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.413559'}]",Neutral,0.052026,LLY
ABBV vs. MRK: Which Drug Giant is a Better Buy Now?,Both ABBV and MRK are leading pharmaceutical companies with strong portfolios in oncology and immunology.,Zacks Commentary,20250414T143700,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.459462'}, {'topic': 'Earnings', 'relevance_score': '0.998663'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}]",Somewhat-Bullish,0.196468,LLY
