title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
Why PepsiCo Stock Tanked Today,"On Tuesday, PepsiCo ( NASDAQ: PEP ) didn't provide much of a sugary, caffeinated buzz for its shareholders. It wasn't directly the company's fault, as the key reason for the dip was an analyst's recommendation downgrade.",Motley Fool,20250415T222850,"[{'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Somewhat-Bearish,-0.165971,PEP
PepsiCo Still A Buy? Not Anymore As Analysts 'Run Out Of Answers' - PepsiCo  ( NASDAQ:PEP ) ,"Analyst downgrades PepsiCo, cites slow growth at Frito-Lay. Marketing efforts in 2024 failed to boost PepsiCo's sales. China's new tariffs just reignited the same market patterns that led to triple- and quadruple-digit wins for Matt Maley. Get Matt's next trade alert free.",Benzinga,20250415T200036,"[{'topic': 'Financial Markets', 'relevance_score': '0.538269'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.650727'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Neutral,0.093811,PEP
AutoScheduler CEO Speaking at Gartner® Supply Chain Symposium/Xpo on How PepsiCo Uses AI and Optimization to Evolve Warehouse Decision-Making,"AUSTIN, Texas, April 15, 2025 ( GLOBE NEWSWIRE ) -- AutoScheduler.AI, an innovative Warehouse Orchestration Platform and WMS accelerator, announces that CEO Keith Moore and Axel Arias, Senior Director of Warehouse Operations for PepsiCo, will discuss how PepsiCo is leveraging artificial ...",Benzinga,20250415T151752,"[{'topic': 'Manufacturing', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.255966,PEP
CELH vs. MNST: Which Energy Drink Giant is the Better Bet Now?,"While MNST has a global reach and stable financials, CELH is a higher-growth opportunity driven by product innovation and expansion.",Zacks Commentary,20250415T145200,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Financial Markets', 'relevance_score': '0.459462'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '0.961735'}]",Somewhat-Bullish,0.339158,PEP
3 Stocks That Could Be Easy Wealth Builders,The market may feel like a roller coaster right now. These stocks are poised to weather the storm and make you wealthy for years beyond it.,Motley Fool,20250415T100500,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.918141'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.682689'}]",Somewhat-Bullish,0.169746,PEP
How Dividend Stocks like Coca-Cola Can Help You Rest Easy Amid Stock Market Unrest,"Coca-Cola ( NYSE: KO ) is a famous company with an iconic brand known the world over. Operating in the consumer staples space, consumers tend to keep buying its products right through periods of stock market and economic turmoil.",Motley Fool,20250415T085500,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.998682'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}]",Neutral,0.140001,PEP
Cash In on the Stock Market Sell-Off. 3 Elite Dividend Stocks Now Yielding Around 4% to Buy and Boost Your Income.,"The stock market has sold off sharply this year, with the S&P 500 ( SNPINDEX: ^GSPC ) recently down about 10% since 2025 began. While stock market sell-offs can be tough to stomach, there is a silver lining to downturns. Stock prices and dividend yields have an inverse relationship.",Motley Fool,20250413T142000,"[{'topic': 'Financial Markets', 'relevance_score': '0.999999'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.309286,PEP
RFK Jr Asks If Public-Funded Healthcare Should Be Accessible To People Smoking 'Three Packs A Day' - Moderna  ( NASDAQ:MRNA ) ,"Robert F. Kennedy Jr., the nation's top health official, questioned whether society should bear the cost of healthcare for individuals who engage in unhealthy habits, such as smoking or consuming doughnuts.",Benzinga,20250412T054634,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Neutral,0.132651,PEP
RFK Jr Asks If Taxpayer-Funded Healthcare Should Be Accessible To People Smoking 'Three Packs A Day' - Moderna  ( NASDAQ:MRNA ) ,"Robert F. Kennedy Jr., the nation's top health official, questioned whether society should bear the cost of healthcare for individuals who engage in unhealthy habits, such as smoking or consuming doughnuts.",Benzinga,20250412T054626,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Neutral,0.132651,PEP
A Closer Look at PepsiCo's Options Market Dynamics - PepsiCo  ( NASDAQ:PEP ) ,"Investors with a lot of money to spend have taken a bullish stance on PepsiCo PEP. We noticed this today when the trades showed up on publicly available options history that we track here at Benzinga. Whether these are institutions or just wealthy individuals, we don't know.",Benzinga,20250411T200104,"[{'topic': 'Financial Markets', 'relevance_score': '0.962106'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.222757,PEP
