title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
Procter & Gamble  ( PG )  Outpaces Stock Market Gains: What You Should Know,"In the most recent trading session, Procter & Gamble (PG) closed at $169.13, indicating a +1.33% shift from the previous trading day.",Zacks Commentary,20250414T220017,"[{'topic': 'Earnings', 'relevance_score': '0.986564'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}]",Somewhat-Bullish,0.21762,PG
WARNER MUSIC GROUP APPOINTS ARMIN ZERZA AS EVP & CFO EFFECTIVE MAY 5 - Warner Music Gr  ( NASDAQ:WMG ) ,"NEW YORK, April 14, 2025 /PRNewswire/ -- Warner Music Group Corp. WMG today announced that Armin Zerza is joining the company as Executive Vice President and Chief Financial Officer, effective May 5, reporting to CEO Robert Kyncl.",Benzinga,20250414T130000,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Bullish,0.471754,PG
Worried About Stock Market Volatility? This Surefire ETF Can Limit Your Risk While Building Long-Term Wealth,"The stock market is no stranger to volatility, but the last couple of weeks have produced some particularly nauseating ups and downs. Many investors, understandably, may be hesitant to invest right now for fear that another downturn could be looming.To be clear, nobody knows what the market will ...",Motley Fool,20250414T081500,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.998932'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Neutral,0.115113,PG
Here's How You Should Play Clorox Stock After a 12% Drop in 6 Months,CLX is navigating short-term pressures while leaning on its IGNITE strategy and digital transformation to spark long-term growth and shareholder value.,Zacks Commentary,20250410T171400,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.999701'}, {'topic': 'Earnings', 'relevance_score': '0.976913'}]",Somewhat-Bullish,0.226295,PG
National Vision  ( EYE )  Soars 9.4%: Is Further Upside Left in the Stock?,National Vision (EYE) saw its shares surge in the last session with trading volume being higher than average. The latest trend in earnings estimate revisions may not translate into further price increase in the near term.,Zacks Commentary,20250410T125600,"[{'topic': 'Earnings', 'relevance_score': '0.986564'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}]",Somewhat-Bullish,0.210041,PG
The Last Time the Stock Market Started a Year This Badly Was 2022. Is Another Crash Coming?,"As of Monday's close, the S&P 500 has fallen by about 15% this year ( although the index regained about half of that after President Donald Trump put most of his tariff plan on pause ) . The index is coming off two straight years of gains in excess of 20%, so a bit of a slowdown was arguably ...",Motley Fool,20250410T100000,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.976913'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.5'}]",Neutral,0.066369,PG
"The Zacks Analyst Blog Highlights Procter & Gamble, Novo Nordisk, PepsiCo, Genie Energy and Canterbury Park","Procter & Gamble, Novo Nordisk, PepsiCo, Genie Energy and Canterbury Park are included in this Analyst Blog.",Zacks Commentary,20250410T090000,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.98396'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.262317,PG
"Top Analyst Reports for Procter & Gamble, Novo Nordisk & PepsiCo","Today's Research Daily features new research reports on 16 major stocks, including The Procter & Gamble Company (PG), Novo Nordisk A/S (NVO) and PepsiCo, Inc. (PEP), as well as two micro-cap stocks Genie Energy Ltd. (GNE) and Canterbury Park Holding Corporation (CPHC).",Zacks Commentary,20250409T205100,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.98396'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.274802,PG
The Nasdaq Just Moved From a Correction to a Bear Market. Here's How Long It Could Last.,"Last week marked a sell-off not seen since the pandemic-induced market crash of 2020. In just two days ( Thursday and Friday ) , the Nasdaq Composite ( NASDAQINDEX: ^IXIC ) fell 10.7%, the S&P 500 ( SNPINDEX: ^GSPC ) tumbled 9.9%, and the Dow Jones Industrial Average ( DJINDICES: ^DJI ) slipped ...",Motley Fool,20250409T084000,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.995077'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.928139'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Neutral,-0.044425,PG
Procter & Gamble  ( PG )  Stock Moves -1.23%: What You Should Know,"In the closing of the recent trading day, Procter & Gamble (PG) stood at $158.26, denoting a -1.23% change from the preceding trading day.",Zacks Commentary,20250408T215016,"[{'topic': 'Earnings', 'relevance_score': '0.986564'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}]",Neutral,0.11343,PG
