title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
Altria Group Options Trading: A Deep Dive into Market Sentiment - Altria Group  ( NYSE:MO ) ,"Investors with a lot of money to spend have taken a bullish stance on Altria Group MO. We noticed this today when the positions showed up on publicly available options history that we track here at Benzinga. Whether these are institutions or just wealthy individuals, we don't know.",Benzinga,20250415T190116,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.459462'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}]",Somewhat-Bullish,0.216396,PM
Stock Market Sell-Off: 2 No-Brainer Stocks to Buy Right Now,"So far, April has been a roller coaster ride for investors, with the benchmark S&P 500 index down by around 9% year to date based on uncertainty surrounding the Trump administration's trade policy.In times like these, it's a good idea to pivot to safe, recession-resistant stocks that aren't very ...",Motley Fool,20250415T092100,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.29514,PM
"Altria Group, Inc.  ( MO )  is Attracting Investor Attention: Here is What You Should Know","Recently, Zacks.com users have been paying close attention to Altria (MO). This makes it worthwhile to examine what the stock has in store.",Zacks Commentary,20250414T130012,"[{'topic': 'Earnings', 'relevance_score': '0.999999'}, {'topic': 'Financial Markets', 'relevance_score': '0.54554'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.231067,PM
Stock Market Crash: The 4 Best Dividend Stocks to Buy Right Now,"With the market being whipsawed, now is a good time to look at some stocks with attractive dividends that could be a ballast in the rough seas. Tariffs remain front and center, and are likely to be the main near-term and medium-term driver of stocks.Let's look at four stocks with attractive ...",Motley Fool,20250413T191800,"[{'topic': 'Financial Markets', 'relevance_score': '0.623304'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.875462'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.298221,PM
5 of the Safest Stocks Billionaire Money Managers Bought Ahead of Wall Street's Historic Volatility,Some of Wall Street's most-prominent asset managers were scooping up shares of time-tested businesses before the stock market meltdown.,Motley Fool,20250413T070600,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Earnings', 'relevance_score': '0.967645'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}]",Somewhat-Bullish,0.235128,PM
Is SPDR Portfolio S&P 500 High Dividend ETF  ( SPYD )  a Strong ETF Right Now?,Smart Beta ETF report for ...,Zacks Commentary,20250411T102003,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}]",Somewhat-Bullish,0.275894,PM
My 2 Favorite Stocks to Buy Right Now,"With the market recently down 10% over a two-day period, it has opened up some buying opportunties. At the same time, investors might want to be a little cautious given the uncertainty over the effects that the Trump administration's on-again, off-again tariffs might have on the global ...",Motley Fool,20250411T082000,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.360215'}]",Somewhat-Bullish,0.258643,PM
Seeking Income? 3 High Yield Stocks Worth a Look,"Dividend-paying stocks can allow investors to build a cash pile quickly. After all, isn't payday the best?",Zacks Commentary,20250410T205800,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.623304'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.684621'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.248382,PM
Altria  ( MO )  Rises But Trails Market: What Investors Should Know,"Altria (MO) reachead $56.32 at the closing of the latest trading day, reflecting a +1.37% change compared to its last close.",Zacks Commentary,20250409T214505,"[{'topic': 'Earnings', 'relevance_score': '0.976913'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",Neutral,0.13579,PM
Is Franklin U.S. Low Volatility High Dividend Index ETF  ( LVHD )  a Strong ETF Right Now?,Smart Beta ETF report for ...,Zacks Commentary,20250409T102005,"[{'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.181803,PM
