title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
Banzai Reports Fourth Quarter and Full Year 2024 Financial Results,"Revenue of $16.7 Million on a Consolidated, Pro-forma Basis for the Twelve Months Ending December 31, 2024, Representing 267% Annual Growth; Exceeded Guidance of $10 Million by 67% Q4 2024 Adjusted Net Loss Improved by $7.8 Million from ( $9.2 ) Million in Q4 2023 to ( $1.4 ) Million, Bringing ...",GlobeNewswire,20250415T203000,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.216107,TMO
"Mainz Biomed Narrows Its Losses, Grows Revenue For Full Year 2024 - Quest Diagnostics  ( NYSE:DGX ) , Mainz Biomed  ( NASDAQ:MYNZ ) ","From expanding partnerships to advancing trials, Mainz Biomed NV MYNZ, the molecular genetics diagnostic company, had a busy 2024 - which appears to have shown in its revenue growth. The company recently reported full year 2024 earnings, and it was able to grow revenue by double digits and narrow ...",Benzinga,20250415T133443,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Earnings', 'relevance_score': '0.839681'}]",Neutral,-0.021731,TMO
"The Zacks Analyst Blog Highlights Eli Lilly, American Express, Thermo Fisher, Steel Partners and Oil-Dri","Eli Lilly, American Express, Thermo Fisher, Steel Partners and Oil-Dri are included in this Analyst Blog.",Zacks Commentary,20250411T105300,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.360215'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.259232,TMO
"Top Research Reports for Eli Lilly, American Express & Thermo Fisher","Today's Research Daily features new research reports on 16 major stocks, including Eli Lilly and Company (LLY), American Express Company (AXP) and Thermo Fisher Scientific Inc. (TMO), as well as two micro-cap stocks, Steel Partners Holdings L.P. (SPLP) and Oil-Dri Corporation of America (ODC).",Zacks Commentary,20250410T214300,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.360215'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.268881,TMO
Thermo Fisher  ( TMO )  Surges 8.2%: Is This an Indication of Further Gains?,Thermo Fisher (TMO) was a big mover last session on higher-than-average trading volume. The latest trend in earnings estimate revisions might not help the stock continue moving higher in the near term.,Zacks Commentary,20250410T091500,"[{'topic': 'Earnings', 'relevance_score': '0.993856'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}]",Somewhat-Bullish,0.236904,TMO
AskBio Elects Dr. Laura Sepp-Lorenzino Independent Member of Board of Directors,"Dr. Sepp-Lorenzino brings to AskBio over 30 years of executive, academic, and Board experience Other Board positions include Taysha Gene Therapies, Alliance for Regenerative Medicine ( ARM ) , and Thermo Fisher Scientific",Benzinga,20250408T132337,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.160288,TMO
"Banzai to Present at the Emerging Growth Conference on Thursday, April 17, 2025","SEATTLE, April 08, 2025 ( GLOBE NEWSWIRE ) -- Banzai International, Inc. ( NASDAQ: BNZI ) ( ""Banzai"" or the ""Company"" ) , a leading marketing technology company that provides essential marketing and sales solutions, today announced that Joe Davy, Founder & CEO, and Alvin Yip, CFO, will present ...",GlobeNewswire,20250408T123100,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.158519'}, {'topic': 'Earnings', 'relevance_score': '0.108179'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Neutral,0.142384,TMO
"Banzai to Present at the Emerging Growth Conference on Thursday, April 17, 2025 - Banzai International  ( NASDAQ:BNZI ) ","SEATTLE, April 08, 2025 ( GLOBE NEWSWIRE ) -- Banzai International, Inc. BNZI ( ""Banzai"" or the ""Company"" ) , a leading marketing technology company that provides essential marketing and sales solutions, today announced that Joe Davy, Founder & CEO, and Alvin Yip, CFO, will present at the ...",Benzinga,20250408T123100,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.538269'}, {'topic': 'Earnings', 'relevance_score': '0.108179'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Neutral,0.14522,TMO
BD Seeks Potential Buyers for Life Sciences Business Division,"Becton Dickinson is in preliminary talks to divest its $21 billion Life Sciences unit, exploring multiple options with major medtech players and diagnostics firms.",Zacks Commentary,20250408T104600,"[{'topic': 'Earnings', 'relevance_score': '0.983783'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.929393'}]",Somewhat-Bullish,0.194159,TMO
Banzai Announces $20.3 Million Debt Repayment Ahead of Schedule,Fully Satisfies Outstanding Debt Obligations to Key Vendors and Delivers Material Benefit to Net Income and Shareholders' Equity,Business Insider,20250407T123100,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Bullish,0.367861,TMO
