title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
APPS Stock Up 58.6% YTD: Can the Rally Sustain Through 2025?,"Digital Turbine stock is gaining from robust advertising demand, international expansion and strategic partnerships, all fueling its growth.",Zacks Commentary,20250415T160600,"[{'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.961735'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.315319,TMUS
Is Invesco Large Cap Growth ETF  ( PWB )  a Strong ETF Right Now?,Smart Beta ETF report for ...,Zacks Commentary,20250415T102005,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.999759'}]",Somewhat-Bullish,0.324593,TMUS
"The Zacks Analyst Blog T-Mobile, Salesforce, Alibaba and Old Point Financial","T-Mobile, Salesforce, Alibaba and Old Point Financial are included in this Analyst Blog.",Zacks Commentary,20250414T061100,"[{'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Earnings', 'relevance_score': '0.818451'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.288596,TMUS
Should Invesco Large Cap Growth ETF  ( PWB )  Be on Your Investing Radar?,Style Box ETF report for ...,Zacks Commentary,20250411T102005,"[{'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.297872,TMUS
T-Mobile  ( TMUS )  Soars 3.5%: Is Further Upside Left in the Stock?,T-Mobile (TMUS) witnessed a jump in share price last session on above-average trading volume. The latest trend in earnings estimate revisions for the stock suggests that there could be more strength down the road.,Zacks Commentary,20250410T143500,"[{'topic': 'Earnings', 'relevance_score': '0.988915'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}]",Somewhat-Bullish,0.323165,TMUS
"Lumen Plummets 34% in a Month: Buy, Sell or Hold the Stock?","Higher demand for LUMN's PCF solutions bodes well, but a debt-laden balance sheet and competition in the AI space remain overhangs.",Zacks Commentary,20250409T135800,"[{'topic': 'Earnings', 'relevance_score': '0.360215'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.623304'}]",Neutral,0.079325,TMUS
AT&T Soars 59% in the Past Year: Should You Invest in T Stock Now?,T appears to be treading in the middle of the road and investors could be better off if they trade with caution.,Zacks Commentary,20250408T135500,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.87644'}]",Somewhat-Bullish,0.24195,TMUS
TMUS 5G Streamlines Disney Movies' Production Process: Stock to Gain?,T-Mobile collaborates with Disney to streamline the movie production process using 5G networks.,Zacks Commentary,20250407T160600,"[{'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.277667,TMUS
Will VZ Stock Benefit From a Three-Year Price Lock Guarantee?,"Despite a customer-centric business model, VZ appears to be treading in the middle of the road and investors could be better off if they trade with caution.",Zacks Commentary,20250404T123600,"[{'topic': 'Financial Markets', 'relevance_score': '0.929393'}, {'topic': 'Earnings', 'relevance_score': '0.108179'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.249193,TMUS
"Verizon's New 3-Year Price Lock, Free Phone Offer: Strategic Move To Boost Customer Retention - Verizon Communications  ( NYSE:VZ ) ","Verizon offers three-year price lock and free phone for new and existing myPlan customers, boosting value amid competitive market. Verizon's new plan includes free satellite text messaging, but price hikes on fees and taxes remain possible, experts warn. Feel unsure about the market's next move?",Benzinga,20250404T120125,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",Somewhat-Bullish,0.296673,TMUS
TMUS Expands Reach in Fiber-to-the-Home Market With Lumos Buyout,The joint venture of T-Mobile and EQT acquire Lumos to accelerate the deployment of fiber-to-the-home Internet access across the country.,Zacks Commentary,20250402T175100,"[{'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Bullish,0.387967,TMUS
