title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
"Tesla Owners Face New Challenge Amid Tariffs, Vandalism: Insurance Costs Going Up Twice The National Rate - Tesla  ( NASDAQ:TSLA ) ",A new report finds Tesla vehicles having a large increase in insurance premium rates in 2025. Concerns for replacement part costs amid tariff worries and vandalism are among the potential negatives for insuring a Tesla.,Benzinga,20250415T225229,"[{'topic': 'Financial Markets', 'relevance_score': '0.266143'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",Neutral,0.080149,TSLA
"20,000 IRS employees interested in deferred resignation offer as tax deadline looms",The Trump administration has offered buyouts across the government in a bid to dramatically shrink the size of the federal workforce.,CNBC,20250415T201539,"[{'topic': 'Earnings', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",Neutral,0.114089,TSLA
What's Going On With Lucid Group Stock On Tuesday? - Lucid Group  ( NASDAQ:LCID ) ,"Lucid's new Gravity SUV offers 450-mile range and 11-minute fast charging. CEO says Lucid won't hike prices, plans U.S. production shift. China's new tariffs just reignited the same market patterns that led to triple- and quadruple-digit wins for Matt Maley. Get Matt's next trade alert free.",Benzinga,20250415T194729,"[{'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.274104,TSLA
Sam Altman's OpenAI Explores Creating Social Media Competitor To Elon Musk's X,Sam Altman's OpenAI is exploring founding a new social media competitor to Elon Musk's X. Altman and Musk have feuded for several years over OpenAI's for-profit status. China's new tariffs just reignited the same market patterns that led to triple- and quadruple-digit wins for Matt Maley.,Benzinga,20250415T193905,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Neutral,0.110615,TSLA
Netflix Earnings Preview: A Diamond in the Magnificent 7 Rough,"While most ""Magnificent 7"" stocks have experienced significant declines amidst Wall Street's volatile start to 2025, Netflix stands out as a resilient performer ahead of its upcoming Q1 earnings report on Thursday, April 17th.",Zacks Commentary,20250415T193200,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.980509'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.18115,TSLA
"Trump 'looking into' legality of deporting U.S. citizens to foreign prisons, White House says","The Trump administration has already deported hundreds of alleged members of a Venezuelan gang from the U.S. to El Salvador, where they are in prison.",CNBC,20250415T183752,"[{'topic': 'Manufacturing', 'relevance_score': '1.0'}]",Neutral,0.097873,TSLA
"Ex-Tesla Operations Leaders Launch Atomic, Raise $3M Seed to Revolutionize Supply Chain Planning with Agentic AI","NEW YORK, April 15, 2025 ( GLOBE NEWSWIRE ) -- Atomic, an AI-powered platform reshaping the $20 billion supply chain planning market, today announced that it closed a $3 million seed round.",Benzinga,20250415T173000,"[{'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",Neutral,0.131531,TSLA
Should You Brace for Mag-7 ETFs Before It's Too Late?,"Mag-7 stocks are in the deep correction zone now, and valuation is down to the pre-ChatGPT level. Although the group has fallen from grace, core strengths remain intact.",Zacks Commentary,20250415T170000,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.999162'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Earnings', 'relevance_score': '0.576289'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}]",Neutral,0.048463,TSLA
"Global Electric Vehicle Sales Jump In March: What Country Leads In Sales? - XPeng  ( NYSE:XPEV ) , Lucid Group  ( NASDAQ:LCID ) , Tesla  ( NASDAQ:TSLA ) , NIO  ( NYSE:NIO ) ",Global EV sales rose 29% year-over-year in March. New U.S. auto tariffs may push EV prices higher. Feel unsure about the market's next move? Copy trade alerts from Matt Maley-a Wall Street veteran who consistently finds profits in volatile markets. Claim your 7-day free trial now.,Benzinga,20250415T163754,"[{'topic': 'Manufacturing', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.175122,TSLA
"Investors, Don't Be A Hero","To gain an edge, this is what you need to know today. Please click here for an enlarged chart of Invesco QQQ Trust Series 1 ( QQQ ) . If QQQ breaks below the micro support zone, short sellers will push the pedal again. If QQQ breaks above the micro resistance zone, the momo crowd will ...",Benzinga,20250415T155403,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.996718'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.246936,TSLA
