title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
AT&T  ( T )  Gains As Market Dips: What You Should Know,"AT&T (T) closed the most recent trading day at $27.50, moving +1.1% from the previous trading session.",Zacks Commentary,20250415T214514,"[{'topic': 'Earnings', 'relevance_score': '0.976913'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}]",Neutral,0.145435,T
Netflix Earnings Preview: A Diamond in the Magnificent 7 Rough,"While most ""Magnificent 7"" stocks have experienced significant declines amidst Wall Street's volatile start to 2025, Netflix stands out as a resilient performer ahead of its upcoming Q1 earnings report on Thursday, April 17th.",Zacks Commentary,20250415T193200,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.980509'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.18115,T
"What's Going On With American Airlines Stock Today? - iShares U.S. Telecommunications ETF  ( BATS:IYZ ) , American Airlines Group  ( NASDAQ:AAL ) ",Free inflight Wi-Fi coming to 2M+ American flights yearly by 2026. Benefit available exclusively to AAdvantage loyalty program members. Feel unsure about the market's next move? Copy trade alerts from Matt Maley-a Wall Street veteran who consistently finds profits in volatile markets.,Benzinga,20250415T191444,"[{'topic': 'Financial Markets', 'relevance_score': '0.980922'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Bullish,0.44007,T
Ericsson Q1 Earnings Beat Estimates on Higher Revenues,"ERIC reports mixed first-quarter 2025 results, driven by solid demand in the Networks Segment along with multiple deal wins.",Zacks Commentary,20250415T150200,"[{'topic': 'Earnings', 'relevance_score': '0.999336'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",Neutral,0.079816,T
"Connecting the world: American Airlines to provide complimentary inflight Wi-Fi, sponsored by AT&T",Free high-speed Wi-Fi available exclusively to AAdvantage members beginning in January 2026 on more planes than any other domestic carrier Free high-speed Wi-Fi available exclusively to AAdvantage members beginning in January 2026 on more planes than any other domestic carrier ...,GlobeNewswire,20250415T100000,"[{'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}]",Bullish,0.379467,T
"Connecting the world: American Airlines to provide complimentary inflight Wi-Fi, sponsored by AT&T - AT&T  ( NYSE:T ) , American Airlines Group  ( NASDAQ:AAL ) ","DALLAS and FORT WORTH, Texas, April 15, 2025 ( GLOBE NEWSWIRE ) -- American Airlines and AT&T - two iconic American brands built on a legacy of connecting customers to the people and places that matter most - will take those connections to new heights, offering complimentary inflight Wi-Fi¹ ...",Benzinga,20250415T100000,"[{'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",Bullish,0.375873,T
The Best High-Yield Dividend Stocks to Buy for 2025 and Beyond,"Investors are looking for solid dividend stocks with volatility returning to the markets. There are several top stocks offering yields much better than the S&P 500 average of 1.44%, but some of these businesses are struggling competitively and are only offering high yields because their share ...",Motley Fool,20250413T191500,"[{'topic': 'Financial Markets', 'relevance_score': '0.990999'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.891286'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.191636,T
Peering Into AT&T's Recent Short Interest - AT&T  ( NYSE:T ) ,"AT&T's T short percent of float has risen 12.14% since its last report. The company recently reported that it has 112.43 million shares sold short, which is 1.57% of all regular shares that are available for trading. Based on its trading volume, it would take traders 2.66 days to cover their ...",Benzinga,20250411T180023,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.413559'}]",Somewhat-Bullish,0.294277,T
Is AT&T Stock a Buy Now?,"There's a lot of uncertainty in the stock market and the U.S. economy right now, and that's probably putting it lightly. As the Trump administration implements new tariffs, businesses and consumers are prepping for price increases and supply chain disruptions, and recession fears are as high as ...",Motley Fool,20250411T132700,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.998962'}]",Somewhat-Bullish,0.16255,T
Investors Heavily Search AT&T Inc.  ( T ) : Here is What You Need to Know,"AT&T (T) has received quite a bit of attention from Zacks.com users lately. Therefore, it is wise to be aware of the facts that can impact the stock's prospects.",Zacks Commentary,20250411T130015,"[{'topic': 'Earnings', 'relevance_score': '0.999999'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.5855'}]",Somewhat-Bullish,0.222119,T
