title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
CVS Health vs. UnitedHealth: Which Healthcare Stock Has More Upside?,CVS Health and UnitedHealth are two of the top companies leading the S&P 500 chart YTD. But which is the better investment now? Let's take a closer look.,Zacks Commentary,20250415T190000,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.972756'}, {'topic': 'Earnings', 'relevance_score': '0.986564'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Bullish,0.381774,UNH
"UnitedHealth Demands Rapid Repayment Of Cyberattack Relief Loan Billions, Providers Say Push Undermines Recovery - UnitedHealth Group  ( NYSE:UNH ) ",UnitedHealth issued approximately $8.9 billion in emergency loans and has recovered about $3.2 billion as of October 2024. Change Healthcare's February 2024 cyberattack affected claims processing for months and compromised data of around 190 million people. Feel unsure about the market's next ...,Benzinga,20250415T171735,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}]",Neutral,-0.123431,UNH
Spotlight on UnitedHealth Group: Analyzing the Surge in Options Activity - UnitedHealth Group  ( NYSE:UNH ) ,"Financial giants have made a conspicuous bearish move on UnitedHealth Group. Our analysis of options history for UnitedHealth Group UNH revealed 16 unusual trades. Delving into the details, we found 25% of traders were bullish, while 56% showed bearish tendencies.",Benzinga,20250415T150805,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.980922'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.208586,UNH
Key Large Cap Reports to Watch This Week,"The 2025 Q1 earnings season picks up considerably this week, with large-cap companies Progressive and UnitedHealth helping to headline the reporting docket. What can investors expect?",Zacks Commentary,20250415T150000,"[{'topic': 'Earnings', 'relevance_score': '0.986564'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",Somewhat-Bullish,0.302198,UNH
What Makes UnitedHealth Group  ( UNH )  a Strong Momentum Stock: Buy Now?,Does UnitedHealth Group (UNH) have what it takes to be a top stock pick for momentum investors? Let's find out.,Zacks Commentary,20250414T160003,"[{'topic': 'Earnings', 'relevance_score': '0.451494'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.990999'}]",Somewhat-Bullish,0.291851,UNH
These Were the 2 Top-Performing Stocks in the Dow Jones Industrial Average in March 2025,"March 2025 might seem like ages ago in market years, as the Trump tariffs have rocked the market like few things before it. However, the trends in March are not so different from what's happening now, as consumer sentiment was rapidly weakening and fears of a recession were mounting before the ...",Motley Fool,20250414T131600,"[{'topic': 'Energy & Transportation', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.796627'}]",Neutral,0.099767,UNH
Gear Up for UnitedHealth  ( UNH )  Q1 Earnings: Wall Street Estimates for Key Metrics,Get a deeper insight into the potential performance of UnitedHealth (UNH) for the quarter ended March 2025 by going beyond Wall Street's top -and-bottom-line estimates and examining the estimates for some of its key metrics.,Zacks Commentary,20250414T131518,"[{'topic': 'Earnings', 'relevance_score': '0.988787'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}]",Somewhat-Bullish,0.158543,UNH
"Beat the Market the Zacks Way: Casey's, Stride, McDonald's in Focus",Our time-tested methodologies were at work to help investors navigate the market well last week. Here are some of our key performance data from the past three months.,Zacks Commentary,20250414T120200,"[{'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.972756'}, {'topic': 'Earnings', 'relevance_score': '0.928139'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.25'}]",Neutral,0.126837,UNH
How Should You Play UnitedHealth Stock Going Into Q1 Earnings?,UNH's first-quarter earnings are likely to have benefited from growing premiums and service revenues.,Zacks Commentary,20250414T112500,"[{'topic': 'Earnings', 'relevance_score': '0.999953'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}]",Somewhat-Bullish,0.346636,UNH
"5 Stocks In The Spotlight From Wall Street's Most Accurate Analysts Last Week - CSX  ( NASDAQ:CSX ) , Bowhead Specialty Hldgs  ( NYSE:BOW ) ","U.S. stocks settled higher on Friday, with the Dow Jones index gaining more than 600 points during the session as investors welcomed upbeat bank earnings and cooler-than-expected inflation data, while largely shrugging off trade war concerns after China raised tariffs on U.S. goods to 125%.",Benzinga,20250414T110623,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.999999'}, {'topic': 'Earnings', 'relevance_score': '0.360215'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.158045,UNH
"Investing $60,000 in These 3 Funds Could Generate Annual Income of Over $6,500","Income investors could pay attention to the price fluctuations of the assets they own. But they don't have to. What really matters for them is that the dividends and distributions keep flowing steadily -- and the higher the yield, the better.Where can you find great candidates to achieve these ...",Motley Fool,20250413T084900,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.989041'}, {'topic': 'Earnings', 'relevance_score': '0.576289'}]",Somewhat-Bullish,0.17892,UNH
"Jim Cramer's week ahead: Earnings from Goldman Sachs, Johnson & Johnson and Netflix",CNBC's Jim Cramer on Friday told investors which market-moving events to follow next week.,CNBC,20250411T225659,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.94762'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Earnings', 'relevance_score': '0.890401'}]",Neutral,0.102159,UNH
3 Large-Cap Value Mutual Funds to Buy Amid Market Uncertainty,"Invest in large-cap value funds like PEQSX, DAGVX and ABVIX to preserve your capital and generate future returns.",Zacks Commentary,20250411T122200,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.682689'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.929393'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}]",Somewhat-Bullish,0.244292,UNH
"Meta Platforms, UnitedHealth Group And More: CNBC's 'Final Trades' - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , Meta Platforms  ( NASDAQ:META ) ",Stephen L. Weiss says growth is still there in Meta Platforms. Kari Firestone says UnitedHealth Group is now starting to improve. Feel unsure about the market's next move? Copy trade alerts from Matt Maley-a Wall Street veteran who consistently finds profits in volatile markets.,Benzinga,20250410T123556,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.87644'}]",Somewhat-Bullish,0.310925,UNH
Should You Invest in the Health Care Select Sector SPDR ETF  ( XLV ) ?,Sector ETF report for ...,Zacks Commentary,20250410T102006,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.268184,UNH
This S&P 500 Stock Soared While the Market Plunged. Is It Still a Buy Now?,"Roughly four out of five S&P 500 ( SNPINDEX: ^GSPC ) stocks are in negative territory in 2025. Most of those stocks weren't immune to the meltdown that occurred in recent days following President Trump's ""Liberation Day"" announcement of steep reciprocal tariffs. However, most doesn't mean all.",Motley Fool,20250410T085100,"[{'topic': 'Earnings', 'relevance_score': '0.576289'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.997405'}]",Neutral,0.121223,UNH
Unpacking the Latest Options Trading Trends in UnitedHealth Group - UnitedHealth Group  ( NYSE:UNH ) ,"Investors with a lot of money to spend have taken a bullish stance on UnitedHealth Group UNH. We noticed this today when the trades showed up on publicly available options history that we track here at Benzinga. Whether these are institutions or just wealthy individuals, we don't know.",Benzinga,20250409T190251,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.459462'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.237318,UNH
UnitedHealth  ( UNH )  Moves 5.4% Higher: Will This Strength Last?,UnitedHealth (UNH) was a big mover last session on higher-than-average trading volume. The latest trend in earnings estimate revisions might not help the stock continue moving higher in the near term.,Zacks Commentary,20250409T151100,"[{'topic': 'Earnings', 'relevance_score': '0.972476'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}]",Somewhat-Bullish,0.218633,UNH
UnitedHealth vs. Humana: Which Healthcare Stock Should You Buy Now?,"The CMS announced a hike in MA payments for fiscal year 2026, which will likely deliver a notable boost to UNH & HUM's bottom lines.",Zacks Commentary,20250409T151000,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.955357'}, {'topic': 'Earnings', 'relevance_score': '0.997902'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.294985,UNH
"Company News for Apr 9, 2025","Companies in The News Are: UNH, TSLA, CEG, ALB ...",Zacks Commentary,20250409T132200,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.181535,UNH
"Amazon.com To $255? Here Are 10 Top Analyst Forecasts For Wednesday - Americold Realty Trust  ( NYSE:COLD ) , Amazon.com  ( NASDAQ:AMZN ) ","Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades and downgrades, please see our analyst ratings page. Barclays cut Americold Realty Trust, Inc. COLD price target from $26 to $21.",Benzinga,20250409T124706,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.752319'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}]",Somewhat-Bullish,0.202773,UNH
5 High-Flying Large-Cap Stocks to Buy Amid Tariff-Led Market Rout,"Despite Extreme volatility, these five stocks have provided more than 4% returns past month. These are: SFM, UNH, SRAD, GME, PODD.",Zacks Commentary,20250409T120900,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Blockchain', 'relevance_score': '0.310843'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.929393'}, {'topic': 'Earnings', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.271484,UNH
Dr. Oz Officially Confirmed as Head of the Centers for Medicare and Medicaid Services. Here's What Retirees Need to Know So Far.,From TV star to powerful government official. That's the path taken by President Donald Trump and his new administrator of the Centers for Medicare and Medicaid Services ( CMS ) -- Dr. Mehmet Oz.Oz was a heart surgeon and medical school professor for years.,Motley Fool,20250409T094400,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.177198,UNH
3 Healthcare Funds to Buy Amid Tariff Turmoil,"The increasing U.S.-China tariffs and volatile markets underscore the resilience of healthcare mutual funds, such as FPHAX, JNGLX and PHSTX, during economic uncertainty.",Zacks Commentary,20250408T124700,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",Somewhat-Bullish,0.164364,UNH
Should You Invest in the iShares U.S. Healthcare ETF  ( IYH ) ?,Sector ETF report for ...,Zacks Commentary,20250408T102007,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}]",Somewhat-Bullish,0.224337,UNH
