timestamp,open,high,low,close,volume
2025-04-15,462.0000,472.0100,408.6500,450.9700,33793455
2025-03-31,469.1000,472.2346,447.5000,465.6400,54852488
2025-02-28,445.0300,468.9900,440.4600,467.0500,39522871
2025-01-31,420.7500,449.6699,410.6900,446.1200,47412742
2024-12-31,460.9900,461.9000,415.4100,418.6700,49697212
2024-11-29,456.5100,467.9800,439.7600,460.9900,40674464
2024-10-31,476.9600,487.4900,454.4700,456.1500,34929729
2024-09-30,473.9400,483.3579,453.5000,476.8600,32477402
2024-08-30,456.0700,479.7900,440.9300,478.2500,29850752
2024-07-31,439.1500,458.1750,424.6300,453.5000,32926871
2024-06-28,434.1400,446.4800,426.6000,438.8100,34110128
2024-05-31,442.7900,449.4000,413.6100,435.5200,39826922
2024-04-30,465.9400,466.9400,433.3800,440.9600,34772254
2024-03-28,448.0000,477.7100,447.0000,464.3200,80450407
2024-02-29,408.2700,453.1100,396.0700,448.8200,36037423
2024-01-31,409.7800,411.7300,400.4000,404.8300,30375218
2023-12-29,412.4500,434.2100,397.3800,410.7100,40505397
2023-11-30,382.2700,416.1931,381.0637,413.7700,32189523
2023-10-31,370.9400,384.3200,361.0200,382.1600,32069838
2023-09-29,389.1500,393.4200,368.9700,372.3500,25418945
2023-08-31,389.8400,393.6650,373.4700,387.0400,24848457
2023-07-31,382.0100,391.6100,358.3700,390.6700,29851110
2023-06-30,355.2800,383.5750,353.2300,381.0800,32829767
2023-05-31,370.8000,373.5800,350.6000,353.6600,31950384
2023-04-28,353.4500,370.5400,352.0100,369.4500,29896881
2023-03-31,350.1000,362.7400,324.1100,355.4400,52684811
2023-02-28,330.7300,351.1500,318.8800,348.3700,69270337
2023-01-31,317.6700,336.3100,302.1700,330.9400,41810774
2022-12-30,337.2900,347.5950,323.0500,326.1800,30700825
2022-11-30,304.0200,344.9300,289.9400,336.4800,38246758
2022-10-31,272.5300,303.0000,266.2200,297.3500,42638918
2022-09-30,277.8300,295.1800,262.4700,269.5900,39953880
2022-08-31,300.4300,313.4800,282.3100,282.8600,31507431
2022-07-29,283.5200,303.1500,265.1200,302.0000,45668365
2022-06-30,323.5300,337.9900,282.5000,287.5300,72954675
2022-05-31,314.5600,329.8100,296.3176,324.6800,42400856
2022-04-29,320.8900,332.3100,303.0250,311.9600,36975574
2022-03-31,292.0000,329.0000,267.5100,319.4300,60755458
2022-02-28,320.4400,324.5100,276.7500,293.2400,48394518
2022-01-31,346.4200,352.1800,304.1300,318.6800,36253384
2021-12-31,321.7000,346.9700,318.2400,346.4300,31902423
2021-11-30,321.4200,340.1600,315.8000,318.1400,32969891
2021-10-29,295.5400,322.7200,290.2700,319.2000,26487093
2021-09-30,313.4900,317.0300,293.3000,293.3800,32839539
2021-08-31,308.7300,316.2900,300.0500,314.5900,26137342
2021-07-30,289.6900,308.8000,282.7500,307.3900,29272548
2021-06-30,305.1700,305.7100,281.9900,289.1000,66488282
2021-05-28,287.3400,303.8700,281.9500,300.6000,31814812
2021-04-30,279.1300,292.4900,277.1650,285.8400,31704615
2021-03-31,247.4300,283.2500,241.8800,280.1400,44862297
2021-02-26,248.2500,259.9800,244.1800,244.2700,38394682
2021-01-29,266.7100,274.5750,240.8000,245.4000,35194313
2020-12-31,260.7900,263.8300,244.7700,263.5100,34344254
2020-11-30,225.1200,269.7800,224.0500,256.4200,36846362
2020-10-30,236.6900,242.8300,214.1400,220.3400,39791617
2020-09-30,249.9700,260.4900,228.4700,238.1300,40382558
2020-08-31,247.6000,254.2500,240.2400,249.7400,31890090
2020-07-31,211.5500,248.8750,210.7300,245.1100,45829736
2020-06-30,202.4900,224.3200,197.2600,212.1100,47301825
2020-05-29,184.2500,203.1200,172.7600,202.3400,38067380
2020-04-30,165.6200,190.9100,159.4100,183.9900,47435476
2020-03-31,191.3000,205.7500,146.7100,173.0000,92771207
2020-02-28,203.7700,227.8500,185.9500,191.0100,42075938
2020-01-31,213.5800,214.4500,202.9700,203.1300,34482966
2019-12-31,202.8500,214.2600,199.6100,212.9000,25751838
2019-11-29,198.8800,210.5000,198.3800,206.2100,24036715
2019-10-31,193.9300,201.3100,182.0600,198.3500,30885279
2019-09-30,187.2700,196.2500,183.2600,193.7200,29612908
2019-08-30,189.6100,195.6100,181.6000,188.9100,40738651
2019-07-31,203.0200,206.8200,188.9900,191.2800,30687597
2019-06-28,181.4700,204.7600,181.2000,200.8000,48777223
2019-05-31,179.8900,189.7200,171.6000,180.5500,34138783
2019-04-30,176.8400,185.9200,174.9200,180.2600,34327704
2019-03-29,176.3600,176.9600,166.0700,175.9300,33872402
2019-02-28,163.9100,175.1200,159.0800,173.2400,32034936
2019-01-31,153.5300,163.7500,151.9300,163.0100,37853516
2018-12-31,162.3000,164.4200,145.9500,156.0400,53291308
2018-11-30,164.6600,166.8500,151.5200,159.0500,73964274
